time,Zero,Stimulations
67000,b'0',b'OVTK_StimulationId_ExperimentStart'
50040000,b'0',b'OVTK_StimulationId_BaselineStart'
50041000,b'0',b'OVTK_StimulationId_Beep'
250042000,b'0',b'OVTK_StimulationId_BaselineStop'
250044000,b'0',b'OVTK_StimulationId_Beep'
300068000,b'0',b'OVTK_GDF_Start_Of_Trial'
300069000,b'0',b'OVTK_GDF_Cross_On_Screen'
320038000,b'0',b'OVTK_StimulationId_Beep'
330088000,b'0',b'OVTK_GDF_Right'
342581000,b'0',b'OVTK_GDF_Feedback_Continuous'
345234000,b'0',b'OVTK_StimulationId_RemovedSamples'
380079000,b'0',b'OVTK_GDF_End_Of_Trial'
400069000,b'0',b'OVTK_GDF_Start_Of_Trial'
400070000,b'0',b'OVTK_GDF_Cross_On_Screen'
420055000,b'0',b'OVTK_StimulationId_Beep'
430065000,b'0',b'OVTK_GDF_Left'
442566000,b'0',b'OVTK_GDF_Feedback_Continuous'
480085000,b'0',b'OVTK_GDF_End_Of_Trial'
510073000,b'0',b'OVTK_GDF_Start_Of_Trial'
510074000,b'0',b'OVTK_GDF_Cross_On_Screen'
530034000,b'0',b'OVTK_StimulationId_Beep'
540074000,b'0',b'OVTK_GDF_Left'
552584000,b'0',b'OVTK_GDF_Feedback_Continuous'
590105000,b'0',b'OVTK_GDF_End_Of_Trial'
610074000,b'0',b'OVTK_GDF_Start_Of_Trial'
610075000,b'0',b'OVTK_GDF_Cross_On_Screen'
630029000,b'0',b'OVTK_StimulationId_Beep'
640072000,b'0',b'OVTK_GDF_Right'
652560000,b'0',b'OVTK_GDF_Feedback_Continuous'
690064000,b'0',b'OVTK_GDF_End_Of_Trial'
730050000,b'0',b'OVTK_GDF_Start_Of_Trial'
730051000,b'0',b'OVTK_GDF_Cross_On_Screen'
750040000,b'0',b'OVTK_StimulationId_Beep'
760084000,b'0',b'OVTK_GDF_Right'
772629000,b'0',b'OVTK_GDF_Feedback_Continuous'
810052000,b'0',b'OVTK_GDF_End_Of_Trial'
840082000,b'0',b'OVTK_GDF_Start_Of_Trial'
840084000,b'0',b'OVTK_GDF_Cross_On_Screen'
860042000,b'0',b'OVTK_StimulationId_Beep'
870077000,b'0',b'OVTK_GDF_Left'
882585000,b'0',b'OVTK_GDF_Feedback_Continuous'
920054000,b'0',b'OVTK_GDF_End_Of_Trial'
950079000,b'0',b'OVTK_GDF_Start_Of_Trial'
950080000,b'0',b'OVTK_GDF_Cross_On_Screen'
970047000,b'0',b'OVTK_StimulationId_Beep'
980079000,b'0',b'OVTK_GDF_Right'
992574000,b'0',b'OVTK_GDF_Feedback_Continuous'
1019589000,b'0',b'OVTK_StimulationId_RemovedSamples'
1030070000,b'0',b'OVTK_GDF_End_Of_Trial'
1060057000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060058000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080012000,b'0',b'OVTK_StimulationId_Beep'
1090055000,b'0',b'OVTK_GDF_Right'
1102558000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140066000,b'0',b'OVTK_GDF_End_Of_Trial'
1180081000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180082000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200047000,b'0',b'OVTK_StimulationId_Beep'
1210081000,b'0',b'OVTK_GDF_Left'
1222551000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260061000,b'0',b'OVTK_GDF_End_Of_Trial'
