time,Zero,Stimulations
192000,b'0',b'OVTK_StimulationId_ExperimentStart'
50029000,b'0',b'OVTK_StimulationId_BaselineStart'
50032000,b'0',b'OVTK_StimulationId_Beep'
122089000,b'0',b'OVTK_StimulationId_RemovedSamples'
250014000,b'0',b'OVTK_StimulationId_BaselineStop'
250016000,b'0',b'OVTK_StimulationId_Beep'
300055000,b'0',b'OVTK_GDF_Start_Of_Trial'
300057000,b'0',b'OVTK_GDF_Cross_On_Screen'
320003000,b'0',b'OVTK_StimulationId_Beep'
330057000,b'0',b'OVTK_GDF_Right'
342554000,b'0',b'OVTK_GDF_Feedback_Continuous'
380050000,b'0',b'OVTK_GDF_End_Of_Trial'
400048000,b'0',b'OVTK_GDF_Start_Of_Trial'
400049000,b'0',b'OVTK_GDF_Cross_On_Screen'
420020000,b'0',b'OVTK_StimulationId_Beep'
430056000,b'0',b'OVTK_GDF_Right'
442545000,b'0',b'OVTK_GDF_Feedback_Continuous'
480047000,b'0',b'OVTK_GDF_End_Of_Trial'
510052000,b'0',b'OVTK_GDF_Start_Of_Trial'
510053000,b'0',b'OVTK_GDF_Cross_On_Screen'
530024000,b'0',b'OVTK_StimulationId_Beep'
540058000,b'0',b'OVTK_GDF_Right'
552548000,b'0',b'OVTK_GDF_Feedback_Continuous'
590052000,b'0',b'OVTK_GDF_End_Of_Trial'
610052000,b'0',b'OVTK_GDF_Start_Of_Trial'
610053000,b'0',b'OVTK_GDF_Cross_On_Screen'
630025000,b'0',b'OVTK_StimulationId_Beep'
640064000,b'0',b'OVTK_GDF_Left'
652563000,b'0',b'OVTK_GDF_Feedback_Continuous'
677070000,b'0',b'OVTK_StimulationId_RemovedSamples'
690033000,b'0',b'OVTK_GDF_End_Of_Trial'
730028000,b'0',b'OVTK_GDF_Start_Of_Trial'
730029000,b'0',b'OVTK_GDF_Cross_On_Screen'
750016000,b'0',b'OVTK_StimulationId_Beep'
760047000,b'0',b'OVTK_GDF_Right'
772526000,b'0',b'OVTK_GDF_Feedback_Continuous'
810037000,b'0',b'OVTK_GDF_End_Of_Trial'
840039000,b'0',b'OVTK_GDF_Start_Of_Trial'
840041000,b'0',b'OVTK_GDF_Cross_On_Screen'
860017000,b'0',b'OVTK_StimulationId_Beep'
870049000,b'0',b'OVTK_GDF_Left'
882542000,b'0',b'OVTK_GDF_Feedback_Continuous'
920054000,b'0',b'OVTK_GDF_End_Of_Trial'
950047000,b'0',b'OVTK_GDF_Start_Of_Trial'
950048000,b'0',b'OVTK_GDF_Cross_On_Screen'
970018000,b'0',b'OVTK_StimulationId_Beep'
980051000,b'0',b'OVTK_GDF_Right'
992539000,b'0',b'OVTK_GDF_Feedback_Continuous'
