time,Zero,Stimulations
49000,b'0',b'OVTK_StimulationId_ExperimentStart'
50030000,b'0',b'OVTK_StimulationId_BaselineStart'
50031000,b'0',b'OVTK_StimulationId_Beep'
250031000,b'0',b'OVTK_StimulationId_BaselineStop'
250032000,b'0',b'OVTK_StimulationId_Beep'
300049000,b'0',b'OVTK_GDF_Start_Of_Trial'
300050000,b'0',b'OVTK_GDF_Cross_On_Screen'
320028000,b'0',b'OVTK_StimulationId_Beep'
330089000,b'0',b'OVTK_GDF_Right'
342566000,b'0',b'OVTK_GDF_Feedback_Continuous'
365664000,b'0',b'OVTK_StimulationId_RemovedSamples'
380041000,b'0',b'OVTK_GDF_End_Of_Trial'
400043000,b'0',b'OVTK_GDF_Start_Of_Trial'
400045000,b'0',b'OVTK_GDF_Cross_On_Screen'
420013000,b'0',b'OVTK_StimulationId_Beep'
430049000,b'0',b'OVTK_GDF_Left'
442537000,b'0',b'OVTK_GDF_Feedback_Continuous'
480044000,b'0',b'OVTK_GDF_End_Of_Trial'
510045000,b'0',b'OVTK_GDF_Start_Of_Trial'
510046000,b'0',b'OVTK_GDF_Cross_On_Screen'
530019000,b'0',b'OVTK_StimulationId_Beep'
540053000,b'0',b'OVTK_GDF_Right'
552535000,b'0',b'OVTK_GDF_Feedback_Continuous'
590052000,b'0',b'OVTK_GDF_End_Of_Trial'
610049000,b'0',b'OVTK_GDF_Start_Of_Trial'
610050000,b'0',b'OVTK_GDF_Cross_On_Screen'
630022000,b'0',b'OVTK_StimulationId_Beep'
640060000,b'0',b'OVTK_GDF_Left'
652553000,b'0',b'OVTK_GDF_Feedback_Continuous'
690048000,b'0',b'OVTK_GDF_End_Of_Trial'
730051000,b'0',b'OVTK_GDF_Start_Of_Trial'
730052000,b'0',b'OVTK_GDF_Cross_On_Screen'
750028000,b'0',b'OVTK_StimulationId_Beep'
760084000,b'0',b'OVTK_GDF_Right'
772560000,b'0',b'OVTK_GDF_Feedback_Continuous'
