time,Zero,Stimulations
64000,b'0',b'OVTK_StimulationId_ExperimentStart'
50026000,b'0',b'OVTK_StimulationId_BaselineStart'
50028000,b'0',b'OVTK_StimulationId_Beep'
250015000,b'0',b'OVTK_StimulationId_BaselineStop'
250017000,b'0',b'OVTK_StimulationId_Beep'
300059000,b'0',b'OVTK_GDF_Start_Of_Trial'
300060000,b'0',b'OVTK_GDF_Cross_On_Screen'
320034000,b'0',b'OVTK_StimulationId_Beep'
330068000,b'0',b'OVTK_GDF_Right'
342555000,b'0',b'OVTK_GDF_Feedback_Continuous'
354199000,b'0',b'OVTK_StimulationId_RemovedSamples'
380041000,b'0',b'OVTK_GDF_End_Of_Trial'
400043000,b'0',b'OVTK_GDF_Start_Of_Trial'
400045000,b'0',b'OVTK_GDF_Cross_On_Screen'
420018000,b'0',b'OVTK_StimulationId_Beep'
430036000,b'0',b'OVTK_GDF_Right'
442549000,b'0',b'OVTK_GDF_Feedback_Continuous'
480045000,b'0',b'OVTK_GDF_End_Of_Trial'
510047000,b'0',b'OVTK_GDF_Start_Of_Trial'
510049000,b'0',b'OVTK_GDF_Cross_On_Screen'
530020000,b'0',b'OVTK_StimulationId_Beep'
540055000,b'0',b'OVTK_GDF_Right'
552532000,b'0',b'OVTK_GDF_Feedback_Continuous'
590048000,b'0',b'OVTK_GDF_End_Of_Trial'
610050000,b'0',b'OVTK_GDF_Start_Of_Trial'
610051000,b'0',b'OVTK_GDF_Cross_On_Screen'
630024000,b'0',b'OVTK_StimulationId_Beep'
640058000,b'0',b'OVTK_GDF_Left'
652547000,b'0',b'OVTK_GDF_Feedback_Continuous'
690051000,b'0',b'OVTK_GDF_End_Of_Trial'
730053000,b'0',b'OVTK_GDF_Start_Of_Trial'
730054000,b'0',b'OVTK_GDF_Cross_On_Screen'
750027000,b'0',b'OVTK_StimulationId_Beep'
760062000,b'0',b'OVTK_GDF_Left'
772555000,b'0',b'OVTK_GDF_Feedback_Continuous'
810054000,b'0',b'OVTK_GDF_End_Of_Trial'
840057000,b'0',b'OVTK_GDF_Start_Of_Trial'
840058000,b'0',b'OVTK_GDF_Cross_On_Screen'
860030000,b'0',b'OVTK_StimulationId_Beep'
870072000,b'0',b'OVTK_GDF_Left'
882563000,b'0',b'OVTK_GDF_Feedback_Continuous'
920060000,b'0',b'OVTK_GDF_End_Of_Trial'
950060000,b'0',b'OVTK_GDF_Start_Of_Trial'
950061000,b'0',b'OVTK_GDF_Cross_On_Screen'
970034000,b'0',b'OVTK_StimulationId_Beep'
980070000,b'0',b'OVTK_GDF_Right'
992304000,b'0',b'OVTK_StimulationId_RemovedSamples'
992549000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030058000,b'0',b'OVTK_GDF_End_Of_Trial'
1060043000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060044000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080019000,b'0',b'OVTK_StimulationId_Beep'
1090058000,b'0',b'OVTK_GDF_Left'
1102547000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140046000,b'0',b'OVTK_GDF_End_Of_Trial'
1180049000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180050000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200021000,b'0',b'OVTK_StimulationId_Beep'
1210058000,b'0',b'OVTK_GDF_Left'
1222546000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260050000,b'0',b'OVTK_GDF_End_Of_Trial'
1300053000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300054000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320024000,b'0',b'OVTK_StimulationId_Beep'
1330060000,b'0',b'OVTK_GDF_Right'
1342539000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380053000,b'0',b'OVTK_GDF_End_Of_Trial'
1420059000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420060000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440030000,b'0',b'OVTK_StimulationId_Beep'
1450066000,b'0',b'OVTK_GDF_Right'
1462550000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500062000,b'0',b'OVTK_GDF_End_Of_Trial'
1520056000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520057000,b'0',b'OVTK_GDF_Cross_On_Screen'
1540033000,b'0',b'OVTK_StimulationId_Beep'
1550051000,b'0',b'OVTK_GDF_Left'
1562566000,b'0',b'OVTK_GDF_Feedback_Continuous'
1600060000,b'0',b'OVTK_GDF_End_Of_Trial'
1638535000,b'0',b'OVTK_StimulationId_RemovedSamples'
1640028000,b'0',b'OVTK_GDF_Start_Of_Trial'
1640030000,b'0',b'OVTK_GDF_Cross_On_Screen'
1660016000,b'0',b'OVTK_StimulationId_Beep'
1670053000,b'0',b'OVTK_GDF_Right'
1682533000,b'0',b'OVTK_GDF_Feedback_Continuous'
1720045000,b'0',b'OVTK_GDF_End_Of_Trial'
1760046000,b'0',b'OVTK_GDF_Start_Of_Trial'
1760047000,b'0',b'OVTK_GDF_Cross_On_Screen'
1780021000,b'0',b'OVTK_StimulationId_Beep'
1790056000,b'0',b'OVTK_GDF_Left'
1802536000,b'0',b'OVTK_GDF_Feedback_Continuous'
1840048000,b'0',b'OVTK_GDF_End_Of_Trial'
1870048000,b'0',b'OVTK_GDF_Start_Of_Trial'
1870050000,b'0',b'OVTK_GDF_Cross_On_Screen'
