time,Zero,Stimulations
215000,b'0',b'OVTK_StimulationId_ExperimentStart'
20273000,b'0',b'OVTK_StimulationId_RemovedSamples'
50120000,b'0',b'OVTK_StimulationId_BaselineStart'
50122000,b'0',b'OVTK_StimulationId_Beep'
250153000,b'0',b'OVTK_StimulationId_BaselineStop'
250154000,b'0',b'OVTK_StimulationId_Beep'
300183000,b'0',b'OVTK_GDF_Start_Of_Trial'
300184000,b'0',b'OVTK_GDF_Cross_On_Screen'
320121000,b'0',b'OVTK_StimulationId_Beep'
330163000,b'0',b'OVTK_GDF_Right'
342671000,b'0',b'OVTK_GDF_Feedback_Continuous'
380178000,b'0',b'OVTK_GDF_End_Of_Trial'
400161000,b'0',b'OVTK_GDF_Start_Of_Trial'
400162000,b'0',b'OVTK_GDF_Cross_On_Screen'
420160000,b'0',b'OVTK_StimulationId_Beep'
430202000,b'0',b'OVTK_GDF_Right'
442645000,b'0',b'OVTK_GDF_Feedback_Continuous'
480170000,b'0',b'OVTK_GDF_End_Of_Trial'
510188000,b'0',b'OVTK_GDF_Start_Of_Trial'
510189000,b'0',b'OVTK_GDF_Cross_On_Screen'
530135000,b'0',b'OVTK_StimulationId_Beep'
540162000,b'0',b'OVTK_GDF_Right'
552664000,b'0',b'OVTK_GDF_Feedback_Continuous'
590182000,b'0',b'OVTK_GDF_End_Of_Trial'
610155000,b'0',b'OVTK_GDF_Start_Of_Trial'
610156000,b'0',b'OVTK_GDF_Cross_On_Screen'
630164000,b'0',b'OVTK_StimulationId_Beep'
640222000,b'0',b'OVTK_GDF_Left'
652648000,b'0',b'OVTK_GDF_Feedback_Continuous'
690177000,b'0',b'OVTK_GDF_End_Of_Trial'
717753000,b'0',b'OVTK_StimulationId_RemovedSamples'
730137000,b'0',b'OVTK_GDF_Start_Of_Trial'
730138000,b'0',b'OVTK_GDF_Cross_On_Screen'
750140000,b'0',b'OVTK_StimulationId_Beep'
760148000,b'0',b'OVTK_GDF_Left'
772662000,b'0',b'OVTK_GDF_Feedback_Continuous'
810196000,b'0',b'OVTK_GDF_End_Of_Trial'
840167000,b'0',b'OVTK_GDF_Start_Of_Trial'
840168000,b'0',b'OVTK_GDF_Cross_On_Screen'
860160000,b'0',b'OVTK_StimulationId_Beep'
870181000,b'0',b'OVTK_GDF_Right'
882693000,b'0',b'OVTK_GDF_Feedback_Continuous'
920155000,b'0',b'OVTK_GDF_End_Of_Trial'
950163000,b'0',b'OVTK_GDF_Start_Of_Trial'
950164000,b'0',b'OVTK_GDF_Cross_On_Screen'
970166000,b'0',b'OVTK_StimulationId_Beep'
980141000,b'0',b'OVTK_GDF_Right'
992647000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030179000,b'0',b'OVTK_GDF_End_Of_Trial'
1060191000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060192000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080130000,b'0',b'OVTK_StimulationId_Beep'
1090160000,b'0',b'OVTK_GDF_Left'
1102676000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140182000,b'0',b'OVTK_GDF_End_Of_Trial'
1180180000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180182000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200192000,b'0',b'OVTK_StimulationId_Beep'
1210219000,b'0',b'OVTK_GDF_Right'
1222647000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260172000,b'0',b'OVTK_GDF_End_Of_Trial'
1300147000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300149000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320151000,b'0',b'OVTK_StimulationId_Beep'
1330190000,b'0',b'OVTK_GDF_Left'
1342695000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380139000,b'0',b'OVTK_GDF_End_Of_Trial'
1414609000,b'0',b'OVTK_StimulationId_RemovedSamples'
1420165000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420167000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440182000,b'0',b'OVTK_StimulationId_Beep'
1450174000,b'0',b'OVTK_GDF_Left'
1462670000,b'0',b'OVTK_GDF_Feedback_Continuous'
