time,Zero,Stimulations
190000,b'0',b'OVTK_StimulationId_ExperimentStart'
50049000,b'0',b'OVTK_StimulationId_BaselineStart'
50050000,b'0',b'OVTK_StimulationId_Beep'
250029000,b'0',b'OVTK_StimulationId_BaselineStop'
250031000,b'0',b'OVTK_StimulationId_Beep'
300071000,b'0',b'OVTK_GDF_Start_Of_Trial'
300072000,b'0',b'OVTK_GDF_Cross_On_Screen'
320072000,b'0',b'OVTK_StimulationId_Beep'
330088000,b'0',b'OVTK_GDF_Left'
342600000,b'0',b'OVTK_GDF_Feedback_Continuous'
380043000,b'0',b'OVTK_GDF_End_Of_Trial'
400038000,b'0',b'OVTK_GDF_Start_Of_Trial'
400039000,b'0',b'OVTK_GDF_Cross_On_Screen'
420041000,b'0',b'OVTK_StimulationId_Beep'
430080000,b'0',b'OVTK_GDF_Left'
442586000,b'0',b'OVTK_GDF_Feedback_Continuous'
480035000,b'0',b'OVTK_GDF_End_Of_Trial'
510072000,b'0',b'OVTK_GDF_Start_Of_Trial'
510073000,b'0',b'OVTK_GDF_Cross_On_Screen'
530073000,b'0',b'OVTK_StimulationId_Beep'
540107000,b'0',b'OVTK_GDF_Right'
552535000,b'0',b'OVTK_GDF_Feedback_Continuous'
584218000,b'0',b'OVTK_StimulationId_RemovedSamples'
590036000,b'0',b'OVTK_GDF_End_Of_Trial'
610025000,b'0',b'OVTK_GDF_Start_Of_Trial'
610026000,b'0',b'OVTK_GDF_Cross_On_Screen'
630036000,b'0',b'OVTK_StimulationId_Beep'
640097000,b'0',b'OVTK_GDF_Left'
652547000,b'0',b'OVTK_GDF_Feedback_Continuous'
690019000,b'0',b'OVTK_GDF_End_Of_Trial'
730063000,b'0',b'OVTK_GDF_Start_Of_Trial'
730064000,b'0',b'OVTK_GDF_Cross_On_Screen'
750029000,b'0',b'OVTK_StimulationId_Beep'
760057000,b'0',b'OVTK_GDF_Right'
772565000,b'0',b'OVTK_GDF_Feedback_Continuous'
810068000,b'0',b'OVTK_GDF_End_Of_Trial'
840089000,b'0',b'OVTK_GDF_Start_Of_Trial'
840091000,b'0',b'OVTK_GDF_Cross_On_Screen'
860029000,b'0',b'OVTK_StimulationId_Beep'
870084000,b'0',b'OVTK_GDF_Left'
882591000,b'0',b'OVTK_GDF_Feedback_Continuous'
920094000,b'0',b'OVTK_GDF_End_Of_Trial'
950041000,b'0',b'OVTK_GDF_Start_Of_Trial'
950042000,b'0',b'OVTK_GDF_Cross_On_Screen'
970048000,b'0',b'OVTK_StimulationId_Beep'
980080000,b'0',b'OVTK_GDF_Right'
992575000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030036000,b'0',b'OVTK_GDF_End_Of_Trial'
1060073000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060074000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080075000,b'0',b'OVTK_StimulationId_Beep'
1090091000,b'0',b'OVTK_GDF_Left'
1102540000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140063000,b'0',b'OVTK_GDF_End_Of_Trial'
1180048000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180049000,b'0',b'OVTK_GDF_Cross_On_Screen'
1186699000,b'0',b'OVTK_StimulationId_RemovedSamples'
1200028000,b'0',b'OVTK_StimulationId_Beep'
1210082000,b'0',b'OVTK_GDF_Right'
1222566000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260084000,b'0',b'OVTK_GDF_End_Of_Trial'
1300056000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300057000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320028000,b'0',b'OVTK_StimulationId_Beep'
1330052000,b'0',b'OVTK_GDF_Right'
1342562000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380064000,b'0',b'OVTK_GDF_End_Of_Trial'
1420043000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420044000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440079000,b'0',b'OVTK_StimulationId_Beep'
1450092000,b'0',b'OVTK_GDF_Left'
1462599000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500064000,b'0',b'OVTK_GDF_End_Of_Trial'
1520048000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520049000,b'0',b'OVTK_GDF_Cross_On_Screen'
1540046000,b'0',b'OVTK_StimulationId_Beep'
1550076000,b'0',b'OVTK_GDF_Left'
1562588000,b'0',b'OVTK_GDF_Feedback_Continuous'
1600041000,b'0',b'OVTK_GDF_End_Of_Trial'
1640078000,b'0',b'OVTK_GDF_Start_Of_Trial'
1640079000,b'0',b'OVTK_GDF_Cross_On_Screen'
1660101000,b'0',b'OVTK_StimulationId_Beep'
1670075000,b'0',b'OVTK_GDF_Right'
1682558000,b'0',b'OVTK_GDF_Feedback_Continuous'
1720086000,b'0',b'OVTK_GDF_End_Of_Trial'
1760062000,b'0',b'OVTK_GDF_Start_Of_Trial'
1760063000,b'0',b'OVTK_GDF_Cross_On_Screen'
1780070000,b'0',b'OVTK_StimulationId_Beep'
1790049000,b'0',b'OVTK_GDF_Left'
1796679000,b'0',b'OVTK_StimulationId_RemovedSamples'
1802534000,b'0',b'OVTK_GDF_Feedback_Continuous'
1840063000,b'0',b'OVTK_GDF_End_Of_Trial'
1870068000,b'0',b'OVTK_GDF_Start_Of_Trial'
1870069000,b'0',b'OVTK_GDF_Cross_On_Screen'
1890074000,b'0',b'OVTK_StimulationId_Beep'
