time,Zero,Stimulations
179000,b'0',b'OVTK_StimulationId_ExperimentStart'
50151000,b'0',b'OVTK_StimulationId_BaselineStart'
50152000,b'0',b'OVTK_StimulationId_Beep'
250163000,b'0',b'OVTK_StimulationId_BaselineStop'
250164000,b'0',b'OVTK_StimulationId_Beep'
274785000,b'0',b'OVTK_StimulationId_RemovedSamples'
300127000,b'0',b'OVTK_GDF_Start_Of_Trial'
300128000,b'0',b'OVTK_GDF_Cross_On_Screen'
320116000,b'0',b'OVTK_StimulationId_Beep'
330144000,b'0',b'OVTK_GDF_Right'
342654000,b'0',b'OVTK_GDF_Feedback_Continuous'
380165000,b'0',b'OVTK_GDF_End_Of_Trial'
400163000,b'0',b'OVTK_GDF_Start_Of_Trial'
400164000,b'0',b'OVTK_GDF_Cross_On_Screen'
420113000,b'0',b'OVTK_StimulationId_Beep'
430145000,b'0',b'OVTK_GDF_Left'
442656000,b'0',b'OVTK_GDF_Feedback_Continuous'
480153000,b'0',b'OVTK_GDF_End_Of_Trial'
510179000,b'0',b'OVTK_GDF_Start_Of_Trial'
510180000,b'0',b'OVTK_GDF_Cross_On_Screen'
530113000,b'0',b'OVTK_StimulationId_Beep'
540175000,b'0',b'OVTK_GDF_Right'
552655000,b'0',b'OVTK_GDF_Feedback_Continuous'
590162000,b'0',b'OVTK_GDF_End_Of_Trial'
610163000,b'0',b'OVTK_GDF_Start_Of_Trial'
610164000,b'0',b'OVTK_GDF_Cross_On_Screen'
630119000,b'0',b'OVTK_StimulationId_Beep'
640205000,b'0',b'OVTK_GDF_Left'
652659000,b'0',b'OVTK_GDF_Feedback_Continuous'
690162000,b'0',b'OVTK_GDF_End_Of_Trial'
730166000,b'0',b'OVTK_GDF_Start_Of_Trial'
730167000,b'0',b'OVTK_GDF_Cross_On_Screen'
750166000,b'0',b'OVTK_StimulationId_Beep'
760172000,b'0',b'OVTK_GDF_Right'
772630000,b'0',b'OVTK_GDF_Feedback_Continuous'
810155000,b'0',b'OVTK_GDF_End_Of_Trial'
840160000,b'0',b'OVTK_GDF_Start_Of_Trial'
840161000,b'0',b'OVTK_GDF_Cross_On_Screen'
860161000,b'0',b'OVTK_StimulationId_Beep'
870146000,b'0',b'OVTK_GDF_Right'
882658000,b'0',b'OVTK_GDF_Feedback_Continuous'
920184000,b'0',b'OVTK_GDF_End_Of_Trial'
950170000,b'0',b'OVTK_GDF_Start_Of_Trial'
950172000,b'0',b'OVTK_GDF_Cross_On_Screen'
959765000,b'0',b'OVTK_StimulationId_RemovedSamples'
970116000,b'0',b'OVTK_StimulationId_Beep'
980150000,b'0',b'OVTK_GDF_Left'
992726000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030146000,b'0',b'OVTK_GDF_End_Of_Trial'
1060120000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060121000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080119000,b'0',b'OVTK_StimulationId_Beep'
1090179000,b'0',b'OVTK_GDF_Left'
1102656000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140183000,b'0',b'OVTK_GDF_End_Of_Trial'
1180160000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180161000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200113000,b'0',b'OVTK_StimulationId_Beep'
1210149000,b'0',b'OVTK_GDF_Right'
1222712000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260157000,b'0',b'OVTK_GDF_End_Of_Trial'
1300159000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300160000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320175000,b'0',b'OVTK_StimulationId_Beep'
1330171000,b'0',b'OVTK_GDF_Right'
1342679000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380213000,b'0',b'OVTK_GDF_End_Of_Trial'
1420129000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420131000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440135000,b'0',b'OVTK_StimulationId_Beep'
1450196000,b'0',b'OVTK_GDF_Right'
1462668000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500180000,b'0',b'OVTK_GDF_End_Of_Trial'
1520165000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520166000,b'0',b'OVTK_GDF_Cross_On_Screen'
1540121000,b'0',b'OVTK_StimulationId_Beep'
1550160000,b'0',b'OVTK_GDF_Left'
1562736000,b'0',b'OVTK_GDF_Feedback_Continuous'
1600175000,b'0',b'OVTK_GDF_End_Of_Trial'
1640184000,b'0',b'OVTK_GDF_Start_Of_Trial'
1640185000,b'0',b'OVTK_GDF_Cross_On_Screen'
1645371000,b'0',b'OVTK_StimulationId_RemovedSamples'
1660177000,b'0',b'OVTK_StimulationId_Beep'
1670168000,b'0',b'OVTK_GDF_Left'
1682622000,b'0',b'OVTK_GDF_Feedback_Continuous'
1720152000,b'0',b'OVTK_GDF_End_Of_Trial'
1760131000,b'0',b'OVTK_GDF_Start_Of_Trial'
1760133000,b'0',b'OVTK_GDF_Cross_On_Screen'
1780122000,b'0',b'OVTK_StimulationId_Beep'
1790163000,b'0',b'OVTK_GDF_Right'
1802671000,b'0',b'OVTK_GDF_Feedback_Continuous'
1840173000,b'0',b'OVTK_GDF_End_Of_Trial'
1870155000,b'0',b'OVTK_GDF_Start_Of_Trial'
1870157000,b'0',b'OVTK_GDF_Cross_On_Screen'
1890151000,b'0',b'OVTK_StimulationId_Beep'
1900161000,b'0',b'OVTK_GDF_Right'
1912672000,b'0',b'OVTK_GDF_Feedback_Continuous'
1950145000,b'0',b'OVTK_GDF_End_Of_Trial'
1970129000,b'0',b'OVTK_GDF_Start_Of_Trial'
1970130000,b'0',b'OVTK_GDF_Cross_On_Screen'
1990131000,b'0',b'OVTK_StimulationId_Beep'
2000186000,b'0',b'OVTK_GDF_Left'
2012640000,b'0',b'OVTK_GDF_Feedback_Continuous'
2050180000,b'0',b'OVTK_GDF_End_Of_Trial'
2070162000,b'0',b'OVTK_GDF_Start_Of_Trial'
2070163000,b'0',b'OVTK_GDF_Cross_On_Screen'
2090128000,b'0',b'OVTK_StimulationId_Beep'
2100225000,b'0',b'OVTK_GDF_Right'
2112734000,b'0',b'OVTK_GDF_Feedback_Continuous'
2150176000,b'0',b'OVTK_GDF_End_Of_Trial'
2170141000,b'0',b'OVTK_GDF_Start_Of_Trial'
2170142000,b'0',b'OVTK_GDF_Cross_On_Screen'
2190159000,b'0',b'OVTK_StimulationId_Beep'
2200138000,b'0',b'OVTK_GDF_Left'
2212703000,b'0',b'OVTK_GDF_Feedback_Continuous'
2250175000,b'0',b'OVTK_GDF_End_Of_Trial'
2280181000,b'0',b'OVTK_GDF_Start_Of_Trial'
2280182000,b'0',b'OVTK_GDF_Cross_On_Screen'
2300125000,b'0',b'OVTK_StimulationId_Beep'
2310163000,b'0',b'OVTK_GDF_Right'
2322730000,b'0',b'OVTK_GDF_Feedback_Continuous'
2324726000,b'0',b'OVTK_StimulationId_RemovedSamples'
2360186000,b'0',b'OVTK_GDF_End_Of_Trial'
2380162000,b'0',b'OVTK_GDF_Start_Of_Trial'
2380164000,b'0',b'OVTK_GDF_Cross_On_Screen'
2400186000,b'0',b'OVTK_StimulationId_Beep'
2410159000,b'0',b'OVTK_GDF_Left'
2422626000,b'0',b'OVTK_GDF_Feedback_Continuous'
2460223000,b'0',b'OVTK_GDF_End_Of_Trial'
2480138000,b'0',b'OVTK_GDF_Start_Of_Trial'
2480140000,b'0',b'OVTK_GDF_Cross_On_Screen'
2500144000,b'0',b'OVTK_StimulationId_Beep'
2510168000,b'0',b'OVTK_GDF_Right'
2522656000,b'0',b'OVTK_GDF_Feedback_Continuous'
2560191000,b'0',b'OVTK_GDF_End_Of_Trial'
2600170000,b'0',b'OVTK_GDF_Start_Of_Trial'
2600172000,b'0',b'OVTK_GDF_Cross_On_Screen'
2620130000,b'0',b'OVTK_StimulationId_Beep'
2630170000,b'0',b'OVTK_GDF_Left'
2642741000,b'0',b'OVTK_GDF_Feedback_Continuous'
2680157000,b'0',b'OVTK_GDF_End_Of_Trial'
2710136000,b'0',b'OVTK_GDF_Start_Of_Trial'
2710137000,b'0',b'OVTK_GDF_Cross_On_Screen'
2730137000,b'0',b'OVTK_StimulationId_Beep'
2740170000,b'0',b'OVTK_GDF_Right'
2752656000,b'0',b'OVTK_GDF_Feedback_Continuous'
2790186000,b'0',b'OVTK_GDF_End_Of_Trial'
2810165000,b'0',b'OVTK_GDF_Start_Of_Trial'
2810166000,b'0',b'OVTK_GDF_Cross_On_Screen'
2830126000,b'0',b'OVTK_StimulationId_Beep'
2840166000,b'0',b'OVTK_GDF_Left'
2852676000,b'0',b'OVTK_GDF_Feedback_Continuous'
2890176000,b'0',b'OVTK_GDF_End_Of_Trial'
2910196000,b'0',b'OVTK_GDF_Start_Of_Trial'
2910197000,b'0',b'OVTK_GDF_Cross_On_Screen'
2930204000,b'0',b'OVTK_StimulationId_Beep'
2940136000,b'0',b'OVTK_GDF_Left'
2952711000,b'0',b'OVTK_GDF_Feedback_Continuous'
2990179000,b'0',b'OVTK_GDF_End_Of_Trial'
3007207000,b'0',b'OVTK_StimulationId_RemovedSamples'
3010144000,b'0',b'OVTK_GDF_Start_Of_Trial'
