time,Zero,Stimulations
193000,b'0',b'OVTK_StimulationId_ExperimentStart'
50039000,b'0',b'OVTK_StimulationId_BaselineStart'
50041000,b'0',b'OVTK_StimulationId_Beep'
51816000,b'0',b'OVTK_StimulationId_RemovedSamples'
250015000,b'0',b'OVTK_StimulationId_BaselineStop'
250017000,b'0',b'OVTK_StimulationId_Beep'
300069000,b'0',b'OVTK_GDF_Start_Of_Trial'
300071000,b'0',b'OVTK_GDF_Cross_On_Screen'
320065000,b'0',b'OVTK_StimulationId_Beep'
330038000,b'0',b'OVTK_GDF_Left'
342615000,b'0',b'OVTK_GDF_Feedback_Continuous'
380084000,b'0',b'OVTK_GDF_End_Of_Trial'
400074000,b'0',b'OVTK_GDF_Start_Of_Trial'
400075000,b'0',b'OVTK_GDF_Cross_On_Screen'
420041000,b'0',b'OVTK_StimulationId_Beep'
430079000,b'0',b'OVTK_GDF_Left'
442520000,b'0',b'OVTK_GDF_Feedback_Continuous'
480055000,b'0',b'OVTK_GDF_End_Of_Trial'
510069000,b'0',b'OVTK_GDF_Start_Of_Trial'
510070000,b'0',b'OVTK_GDF_Cross_On_Screen'
530065000,b'0',b'OVTK_StimulationId_Beep'
540027000,b'0',b'OVTK_GDF_Right'
552548000,b'0',b'OVTK_GDF_Feedback_Continuous'
590056000,b'0',b'OVTK_GDF_End_Of_Trial'
610037000,b'0',b'OVTK_GDF_Start_Of_Trial'
610038000,b'0',b'OVTK_GDF_Cross_On_Screen'
630040000,b'0',b'OVTK_StimulationId_Beep'
640080000,b'0',b'OVTK_GDF_Right'
652533000,b'0',b'OVTK_GDF_Feedback_Continuous'
684296000,b'0',b'OVTK_StimulationId_RemovedSamples'
690030000,b'0',b'OVTK_GDF_End_Of_Trial'
730012000,b'0',b'OVTK_GDF_Start_Of_Trial'
730013000,b'0',b'OVTK_GDF_Cross_On_Screen'
750024000,b'0',b'OVTK_StimulationId_Beep'
760049000,b'0',b'OVTK_GDF_Left'
772555000,b'0',b'OVTK_GDF_Feedback_Continuous'
810068000,b'0',b'OVTK_GDF_End_Of_Trial'
840035000,b'0',b'OVTK_GDF_Start_Of_Trial'
840037000,b'0',b'OVTK_GDF_Cross_On_Screen'
860038000,b'0',b'OVTK_StimulationId_Beep'
870074000,b'0',b'OVTK_GDF_Left'
882585000,b'0',b'OVTK_GDF_Feedback_Continuous'
920030000,b'0',b'OVTK_GDF_End_Of_Trial'
950078000,b'0',b'OVTK_GDF_Start_Of_Trial'
950079000,b'0',b'OVTK_GDF_Cross_On_Screen'
970069000,b'0',b'OVTK_StimulationId_Beep'
980018000,b'0',b'OVTK_GDF_Right'
992523000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030058000,b'0',b'OVTK_GDF_End_Of_Trial'
1060067000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060068000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080066000,b'0',b'OVTK_StimulationId_Beep'
1090040000,b'0',b'OVTK_GDF_Right'
1102601000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140057000,b'0',b'OVTK_GDF_End_Of_Trial'
1180035000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180036000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200036000,b'0',b'OVTK_StimulationId_Beep'
1210094000,b'0',b'OVTK_GDF_Left'
1222552000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260047000,b'0',b'OVTK_GDF_End_Of_Trial'
1300037000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300038000,b'0',b'OVTK_GDF_Cross_On_Screen'
1317402000,b'0',b'OVTK_StimulationId_RemovedSamples'
1319999000,b'0',b'OVTK_StimulationId_Beep'
1330047000,b'0',b'OVTK_GDF_Left'
1342550000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380069000,b'0',b'OVTK_GDF_End_Of_Trial'
1420062000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420063000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440065000,b'0',b'OVTK_StimulationId_Beep'
1450035000,b'0',b'OVTK_GDF_Right'
1462543000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500051000,b'0',b'OVTK_GDF_End_Of_Trial'
1520066000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520067000,b'0',b'OVTK_GDF_Cross_On_Screen'
1540069000,b'0',b'OVTK_StimulationId_Beep'
1550079000,b'0',b'OVTK_GDF_Right'
1562516000,b'0',b'OVTK_GDF_Feedback_Continuous'
1600047000,b'0',b'OVTK_GDF_End_Of_Trial'
1640023000,b'0',b'OVTK_GDF_Start_Of_Trial'
1640024000,b'0',b'OVTK_GDF_Cross_On_Screen'
1660042000,b'0',b'OVTK_StimulationId_Beep'
1670063000,b'0',b'OVTK_GDF_Right'
1682553000,b'0',b'OVTK_GDF_Feedback_Continuous'
1720015000,b'0',b'OVTK_GDF_End_Of_Trial'
1760084000,b'0',b'OVTK_GDF_Start_Of_Trial'
1760085000,b'0',b'OVTK_GDF_Cross_On_Screen'
1780081000,b'0',b'OVTK_StimulationId_Beep'
1790058000,b'0',b'OVTK_GDF_Left'
1802629000,b'0',b'OVTK_GDF_Feedback_Continuous'
1840069000,b'0',b'OVTK_GDF_End_Of_Trial'
1870026000,b'0',b'OVTK_GDF_Start_Of_Trial'
1870028000,b'0',b'OVTK_GDF_Cross_On_Screen'
1890021000,b'0',b'OVTK_StimulationId_Beep'
1900093000,b'0',b'OVTK_GDF_Left'
1912569000,b'0',b'OVTK_GDF_Feedback_Continuous'
1950100000,b'0',b'OVTK_GDF_End_Of_Trial'
1956757000,b'0',b'OVTK_StimulationId_RemovedSamples'
1970042000,b'0',b'OVTK_GDF_Start_Of_Trial'
1970043000,b'0',b'OVTK_GDF_Cross_On_Screen'
1990062000,b'0',b'OVTK_StimulationId_Beep'
2000040000,b'0',b'OVTK_GDF_Right'
2012596000,b'0',b'OVTK_GDF_Feedback_Continuous'
2050052000,b'0',b'OVTK_GDF_End_Of_Trial'
2070034000,b'0',b'OVTK_GDF_Start_Of_Trial'
2070035000,b'0',b'OVTK_GDF_Cross_On_Screen'
2090074000,b'0',b'OVTK_StimulationId_Beep'
2100008000,b'0',b'OVTK_GDF_Left'
2112525000,b'0',b'OVTK_GDF_Feedback_Continuous'
2150051000,b'0',b'OVTK_GDF_End_Of_Trial'
2170035000,b'0',b'OVTK_GDF_Start_Of_Trial'
