time,Zero,Stimulations
74000,b'0',b'OVTK_StimulationId_ExperimentStart'
50089000,b'0',b'OVTK_StimulationId_BaselineStart'
50090000,b'0',b'OVTK_StimulationId_Beep'
250045000,b'0',b'OVTK_StimulationId_BaselineStop'
250047000,b'0',b'OVTK_StimulationId_Beep'
300057000,b'0',b'OVTK_GDF_Start_Of_Trial'
300059000,b'0',b'OVTK_GDF_Cross_On_Screen'
320133000,b'0',b'OVTK_StimulationId_Beep'
330158000,b'0',b'OVTK_GDF_Right'
342590000,b'0',b'OVTK_GDF_Feedback_Continuous'
380168000,b'0',b'OVTK_GDF_End_Of_Trial'
400149000,b'0',b'OVTK_GDF_Start_Of_Trial'
400150000,b'0',b'OVTK_GDF_Cross_On_Screen'
420033000,b'0',b'OVTK_StimulationId_Beep'
430016000,b'0',b'OVTK_GDF_Left'
442544000,b'0',b'OVTK_GDF_Feedback_Continuous'
480099000,b'0',b'OVTK_GDF_End_Of_Trial'
484042000,b'0',b'OVTK_StimulationId_RemovedSamples'
510056000,b'0',b'OVTK_GDF_Start_Of_Trial'
510057000,b'0',b'OVTK_GDF_Cross_On_Screen'
530108000,b'0',b'OVTK_StimulationId_Beep'
540142000,b'0',b'OVTK_GDF_Right'
552653000,b'0',b'OVTK_GDF_Feedback_Continuous'
590156000,b'0',b'OVTK_GDF_End_Of_Trial'
610049000,b'0',b'OVTK_GDF_Start_Of_Trial'
610051000,b'0',b'OVTK_GDF_Cross_On_Screen'
630037000,b'0',b'OVTK_StimulationId_Beep'
640001000,b'0',b'OVTK_GDF_Left'
652547000,b'0',b'OVTK_GDF_Feedback_Continuous'
690074000,b'0',b'OVTK_GDF_End_Of_Trial'
730034000,b'0',b'OVTK_GDF_Start_Of_Trial'
730036000,b'0',b'OVTK_GDF_Cross_On_Screen'
750135000,b'0',b'OVTK_StimulationId_Beep'
760140000,b'0',b'OVTK_GDF_Right'
772681000,b'0',b'OVTK_GDF_Feedback_Continuous'
810057000,b'0',b'OVTK_GDF_End_Of_Trial'
840138000,b'0',b'OVTK_GDF_Start_Of_Trial'
840139000,b'0',b'OVTK_GDF_Cross_On_Screen'
860161000,b'0',b'OVTK_StimulationId_Beep'
870030000,b'0',b'OVTK_GDF_Left'
882536000,b'0',b'OVTK_GDF_Feedback_Continuous'
920040000,b'0',b'OVTK_GDF_End_Of_Trial'
950051000,b'0',b'OVTK_GDF_Start_Of_Trial'
950053000,b'0',b'OVTK_GDF_Cross_On_Screen'
970108000,b'0',b'OVTK_StimulationId_Beep'
980134000,b'0',b'OVTK_GDF_Left'
992647000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030031000,b'0',b'OVTK_GDF_End_Of_Trial'
1035273000,b'0',b'OVTK_StimulationId_RemovedSamples'
1060086000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060087000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080041000,b'0',b'OVTK_StimulationId_Beep'
1090068000,b'0',b'OVTK_GDF_Right'
1102576000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140107000,b'0',b'OVTK_GDF_End_Of_Trial'
1180129000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180130000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200162000,b'0',b'OVTK_StimulationId_Beep'
1210035000,b'0',b'OVTK_GDF_Right'
1222545000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260045000,b'0',b'OVTK_GDF_End_Of_Trial'
1300124000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300126000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320021000,b'0',b'OVTK_StimulationId_Beep'
1330081000,b'0',b'OVTK_GDF_Left'
1342626000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380013000,b'0',b'OVTK_GDF_End_Of_Trial'
1420107000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420108000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440034000,b'0',b'OVTK_StimulationId_Beep'
1450052000,b'0',b'OVTK_GDF_Right'
1462589000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500121000,b'0',b'OVTK_GDF_End_Of_Trial'
1520166000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520168000,b'0',b'OVTK_GDF_Cross_On_Screen'
1540121000,b'0',b'OVTK_StimulationId_Beep'
1550179000,b'0',b'OVTK_GDF_Left'
1562684000,b'0',b'OVTK_GDF_Feedback_Continuous'
1595253000,b'0',b'OVTK_StimulationId_RemovedSamples'
1600158000,b'0',b'OVTK_GDF_End_Of_Trial'
1640169000,b'0',b'OVTK_GDF_Start_Of_Trial'
1640170000,b'0',b'OVTK_GDF_Cross_On_Screen'
1660055000,b'0',b'OVTK_StimulationId_Beep'
1670117000,b'0',b'OVTK_GDF_Right'
1682624000,b'0',b'OVTK_GDF_Feedback_Continuous'
1720167000,b'0',b'OVTK_GDF_End_Of_Trial'
1760164000,b'0',b'OVTK_GDF_Start_Of_Trial'
1760165000,b'0',b'OVTK_GDF_Cross_On_Screen'
1780137000,b'0',b'OVTK_StimulationId_Beep'
1790140000,b'0',b'OVTK_GDF_Left'
1802676000,b'0',b'OVTK_GDF_Feedback_Continuous'
1840028000,b'0',b'OVTK_GDF_End_Of_Trial'
1870142000,b'0',b'OVTK_GDF_Start_Of_Trial'
1870144000,b'0',b'OVTK_GDF_Cross_On_Screen'
1890021000,b'0',b'OVTK_StimulationId_Beep'
1900114000,b'0',b'OVTK_GDF_Right'
1912640000,b'0',b'OVTK_GDF_Feedback_Continuous'
1950121000,b'0',b'OVTK_GDF_End_Of_Trial'
1970032000,b'0',b'OVTK_GDF_Start_Of_Trial'
1970033000,b'0',b'OVTK_GDF_Cross_On_Screen'
1990023000,b'0',b'OVTK_StimulationId_Beep'
2000063000,b'0',b'OVTK_GDF_Left'
2012592000,b'0',b'OVTK_GDF_Feedback_Continuous'
2050122000,b'0',b'OVTK_GDF_End_Of_Trial'
2070156000,b'0',b'OVTK_GDF_Start_Of_Trial'
2070157000,b'0',b'OVTK_GDF_Cross_On_Screen'
2090109000,b'0',b'OVTK_StimulationId_Beep'
2100140000,b'0',b'OVTK_GDF_Right'
2112645000,b'0',b'OVTK_GDF_Feedback_Continuous'
2150157000,b'0',b'OVTK_GDF_End_Of_Trial'
2153984000,b'0',b'OVTK_StimulationId_RemovedSamples'
2170066000,b'0',b'OVTK_GDF_Start_Of_Trial'
2170068000,b'0',b'OVTK_GDF_Cross_On_Screen'
2190012000,b'0',b'OVTK_StimulationId_Beep'
2200042000,b'0',b'OVTK_GDF_Left'
2212516000,b'0',b'OVTK_GDF_Feedback_Continuous'
2250049000,b'0',b'OVTK_GDF_End_Of_Trial'
2280018000,b'0',b'OVTK_GDF_Start_Of_Trial'
2280019000,b'0',b'OVTK_GDF_Cross_On_Screen'
2300086000,b'0',b'OVTK_StimulationId_Beep'
2310160000,b'0',b'OVTK_GDF_Right'
2322660000,b'0',b'OVTK_GDF_Feedback_Continuous'
2360138000,b'0',b'OVTK_GDF_End_Of_Trial'
2380154000,b'0',b'OVTK_GDF_Start_Of_Trial'
2380156000,b'0',b'OVTK_GDF_Cross_On_Screen'
2400024000,b'0',b'OVTK_StimulationId_Beep'
2410179000,b'0',b'OVTK_GDF_Right'
2422520000,b'0',b'OVTK_GDF_Feedback_Continuous'
2460068000,b'0',b'OVTK_GDF_End_Of_Trial'
2480135000,b'0',b'OVTK_GDF_Start_Of_Trial'
2480137000,b'0',b'OVTK_GDF_Cross_On_Screen'
2500153000,b'0',b'OVTK_StimulationId_Beep'
2510153000,b'0',b'OVTK_GDF_Left'
2522663000,b'0',b'OVTK_GDF_Feedback_Continuous'
2560026000,b'0',b'OVTK_GDF_End_Of_Trial'
2600091000,b'0',b'OVTK_GDF_Start_Of_Trial'
2600093000,b'0',b'OVTK_GDF_Cross_On_Screen'
2620023000,b'0',b'OVTK_StimulationId_Beep'
2630030000,b'0',b'OVTK_GDF_Left'
2642574000,b'0',b'OVTK_GDF_Feedback_Continuous'
2680112000,b'0',b'OVTK_GDF_End_Of_Trial'
2710056000,b'0',b'OVTK_GDF_Start_Of_Trial'
2710058000,b'0',b'OVTK_GDF_Cross_On_Screen'
2712089000,b'0',b'OVTK_StimulationId_RemovedSamples'
2730125000,b'0',b'OVTK_StimulationId_Beep'
2740152000,b'0',b'OVTK_GDF_Right'
2752662000,b'0',b'OVTK_GDF_Feedback_Continuous'
