time,Zero,Stimulations
226000,b'0',b'OVTK_StimulationId_ExperimentStart'
50151000,b'0',b'OVTK_StimulationId_BaselineStart'
50152000,b'0',b'OVTK_StimulationId_Beep'
250182000,b'0',b'OVTK_StimulationId_BaselineStop'
250183000,b'0',b'OVTK_StimulationId_Beep'
300136000,b'0',b'OVTK_GDF_Start_Of_Trial'
300137000,b'0',b'OVTK_GDF_Cross_On_Screen'
320107000,b'0',b'OVTK_StimulationId_Beep'
330197000,b'0',b'OVTK_GDF_Right'
342707000,b'0',b'OVTK_GDF_Feedback_Continuous'
380158000,b'0',b'OVTK_GDF_End_Of_Trial'
400197000,b'0',b'OVTK_GDF_Start_Of_Trial'
400199000,b'0',b'OVTK_GDF_Cross_On_Screen'
420224000,b'0',b'OVTK_StimulationId_Beep'
430252000,b'0',b'OVTK_GDF_Right'
442663000,b'0',b'OVTK_GDF_Feedback_Continuous'
444648000,b'0',b'OVTK_StimulationId_RemovedSamples'
480197000,b'0',b'OVTK_GDF_End_Of_Trial'
510219000,b'0',b'OVTK_GDF_Start_Of_Trial'
510221000,b'0',b'OVTK_GDF_Cross_On_Screen'
530126000,b'0',b'OVTK_StimulationId_Beep'
540144000,b'0',b'OVTK_GDF_Right'
552749000,b'0',b'OVTK_GDF_Feedback_Continuous'
590214000,b'0',b'OVTK_GDF_End_Of_Trial'
610383000,b'0',b'OVTK_GDF_Start_Of_Trial'
610384000,b'0',b'OVTK_GDF_Cross_On_Screen'
630200000,b'0',b'OVTK_StimulationId_Beep'
640260000,b'0',b'OVTK_GDF_Left'
652769000,b'0',b'OVTK_GDF_Feedback_Continuous'
690200000,b'0',b'OVTK_GDF_End_Of_Trial'
730264000,b'0',b'OVTK_GDF_Start_Of_Trial'
730266000,b'0',b'OVTK_GDF_Cross_On_Screen'
750145000,b'0',b'OVTK_StimulationId_Beep'
760149000,b'0',b'OVTK_GDF_Left'
772662000,b'0',b'OVTK_GDF_Feedback_Continuous'
810140000,b'0',b'OVTK_GDF_End_Of_Trial'
840280000,b'0',b'OVTK_GDF_Start_Of_Trial'
840282000,b'0',b'OVTK_GDF_Cross_On_Screen'
860202000,b'0',b'OVTK_StimulationId_Beep'
870153000,b'0',b'OVTK_GDF_Left'
882668000,b'0',b'OVTK_GDF_Feedback_Continuous'
920263000,b'0',b'OVTK_GDF_End_Of_Trial'
950267000,b'0',b'OVTK_GDF_Start_Of_Trial'
950268000,b'0',b'OVTK_GDF_Cross_On_Screen'
970224000,b'0',b'OVTK_StimulationId_Beep'
980286000,b'0',b'OVTK_GDF_Right'
992764000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030209000,b'0',b'OVTK_GDF_End_Of_Trial'
1045878000,b'0',b'OVTK_StimulationId_RemovedSamples'
1060137000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060139000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080187000,b'0',b'OVTK_StimulationId_Beep'
1090182000,b'0',b'OVTK_GDF_Left'
1102768000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140280000,b'0',b'OVTK_GDF_End_Of_Trial'
1180194000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180195000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200269000,b'0',b'OVTK_StimulationId_Beep'
1210155000,b'0',b'OVTK_GDF_Right'
1222667000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260161000,b'0',b'OVTK_GDF_End_Of_Trial'
1300119000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300121000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320243000,b'0',b'OVTK_StimulationId_Beep'
1330206000,b'0',b'OVTK_GDF_Left'
1342798000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380156000,b'0',b'OVTK_GDF_End_Of_Trial'
1420110000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420112000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440150000,b'0',b'OVTK_StimulationId_Beep'
1450330000,b'0',b'OVTK_GDF_Left'
1462762000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500155000,b'0',b'OVTK_GDF_End_Of_Trial'
1520275000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520276000,b'0',b'OVTK_GDF_Cross_On_Screen'
1540228000,b'0',b'OVTK_StimulationId_Beep'
1550283000,b'0',b'OVTK_GDF_Right'
1562761000,b'0',b'OVTK_GDF_Feedback_Continuous'
1600175000,b'0',b'OVTK_GDF_End_Of_Trial'
1640162000,b'0',b'OVTK_GDF_Start_Of_Trial'
1640163000,b'0',b'OVTK_GDF_Cross_On_Screen'
1645859000,b'0',b'OVTK_StimulationId_RemovedSamples'
1660305000,b'0',b'OVTK_StimulationId_Beep'
1670290000,b'0',b'OVTK_GDF_Right'
1682625000,b'0',b'OVTK_GDF_Feedback_Continuous'
1720268000,b'0',b'OVTK_GDF_End_Of_Trial'
1760114000,b'0',b'OVTK_GDF_Start_Of_Trial'
1760115000,b'0',b'OVTK_GDF_Cross_On_Screen'
1780101000,b'0',b'OVTK_StimulationId_Beep'
1790200000,b'0',b'OVTK_GDF_Left'
1802710000,b'0',b'OVTK_GDF_Feedback_Continuous'
1840240000,b'0',b'OVTK_GDF_End_Of_Trial'
1870153000,b'0',b'OVTK_GDF_Start_Of_Trial'
1870154000,b'0',b'OVTK_GDF_Cross_On_Screen'
1890157000,b'0',b'OVTK_StimulationId_Beep'
1900355000,b'0',b'OVTK_GDF_Right'
1912729000,b'0',b'OVTK_GDF_Feedback_Continuous'
1950145000,b'0',b'OVTK_GDF_End_Of_Trial'
