time,Zero,Stimulations
197000,b'0',b'OVTK_StimulationId_ExperimentStart'
50031000,b'0',b'OVTK_StimulationId_BaselineStart'
50033000,b'0',b'OVTK_StimulationId_Beep'
178359000,b'0',b'OVTK_StimulationId_RemovedSamples'
250075000,b'0',b'OVTK_StimulationId_BaselineStop'
250077000,b'0',b'OVTK_StimulationId_Beep'
300102000,b'0',b'OVTK_GDF_Start_Of_Trial'
300103000,b'0',b'OVTK_GDF_Cross_On_Screen'
320014000,b'0',b'OVTK_StimulationId_Beep'
330166000,b'0',b'OVTK_GDF_Right'
342526000,b'0',b'OVTK_GDF_Feedback_Continuous'
380171000,b'0',b'OVTK_GDF_End_Of_Trial'
400079000,b'0',b'OVTK_GDF_Start_Of_Trial'
400080000,b'0',b'OVTK_GDF_Cross_On_Screen'
420177000,b'0',b'OVTK_StimulationId_Beep'
430122000,b'0',b'OVTK_GDF_Left'
442525000,b'0',b'OVTK_GDF_Feedback_Continuous'
480035000,b'0',b'OVTK_GDF_End_Of_Trial'
510099000,b'0',b'OVTK_GDF_Start_Of_Trial'
510101000,b'0',b'OVTK_GDF_Cross_On_Screen'
530092000,b'0',b'OVTK_StimulationId_Beep'
540153000,b'0',b'OVTK_GDF_Left'
552550000,b'0',b'OVTK_GDF_Feedback_Continuous'
590164000,b'0',b'OVTK_GDF_End_Of_Trial'
610134000,b'0',b'OVTK_GDF_Start_Of_Trial'
610136000,b'0',b'OVTK_GDF_Cross_On_Screen'
630023000,b'0',b'OVTK_StimulationId_Beep'
640142000,b'0',b'OVTK_GDF_Right'
652634000,b'0',b'OVTK_GDF_Feedback_Continuous'
690175000,b'0',b'OVTK_GDF_End_Of_Trial'
730046000,b'0',b'OVTK_GDF_Start_Of_Trial'
730048000,b'0',b'OVTK_GDF_Cross_On_Screen'
750164000,b'0',b'OVTK_StimulationId_Beep'
760157000,b'0',b'OVTK_GDF_Right'
772609000,b'0',b'OVTK_GDF_Feedback_Continuous'
792089000,b'0',b'OVTK_StimulationId_RemovedSamples'
810120000,b'0',b'OVTK_GDF_End_Of_Trial'
840142000,b'0',b'OVTK_GDF_Start_Of_Trial'
840143000,b'0',b'OVTK_GDF_Cross_On_Screen'
860046000,b'0',b'OVTK_StimulationId_Beep'
870110000,b'0',b'OVTK_GDF_Left'
882617000,b'0',b'OVTK_GDF_Feedback_Continuous'
920153000,b'0',b'OVTK_GDF_End_Of_Trial'
950043000,b'0',b'OVTK_GDF_Start_Of_Trial'
950044000,b'0',b'OVTK_GDF_Cross_On_Screen'
970141000,b'0',b'OVTK_StimulationId_Beep'
980179000,b'0',b'OVTK_GDF_Left'
992520000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030167000,b'0',b'OVTK_GDF_End_Of_Trial'
1060077000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060079000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080094000,b'0',b'OVTK_StimulationId_Beep'
1090157000,b'0',b'OVTK_GDF_Right'
1102725000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140054000,b'0',b'OVTK_GDF_End_Of_Trial'
1180030000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180031000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200184000,b'0',b'OVTK_StimulationId_Beep'
1210107000,b'0',b'OVTK_GDF_Right'
1222527000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260124000,b'0',b'OVTK_GDF_End_Of_Trial'
1300044000,b'0',b'OVTK_GDF_Start_Of_Trial'
