time,Zero,Stimulations
209000,b'0',b'OVTK_StimulationId_ExperimentStart'
31738000,b'0',b'OVTK_StimulationId_RemovedSamples'
50091000,b'0',b'OVTK_StimulationId_BaselineStart'
50093000,b'0',b'OVTK_StimulationId_Beep'
250157000,b'0',b'OVTK_StimulationId_BaselineStop'
250158000,b'0',b'OVTK_StimulationId_Beep'
300181000,b'0',b'OVTK_GDF_Start_Of_Trial'
300183000,b'0',b'OVTK_GDF_Cross_On_Screen'
320127000,b'0',b'OVTK_StimulationId_Beep'
330258000,b'0',b'OVTK_GDF_Right'
342765000,b'0',b'OVTK_GDF_Feedback_Continuous'
380208000,b'0',b'OVTK_GDF_End_Of_Trial'
400261000,b'0',b'OVTK_GDF_Start_Of_Trial'
400263000,b'0',b'OVTK_GDF_Cross_On_Screen'
420205000,b'0',b'OVTK_StimulationId_Beep'
430118000,b'0',b'OVTK_GDF_Left'
442668000,b'0',b'OVTK_GDF_Feedback_Continuous'
480165000,b'0',b'OVTK_GDF_End_Of_Trial'
510162000,b'0',b'OVTK_GDF_Start_Of_Trial'
510164000,b'0',b'OVTK_GDF_Cross_On_Screen'
530231000,b'0',b'OVTK_StimulationId_Beep'
540259000,b'0',b'OVTK_GDF_Right'
552690000,b'0',b'OVTK_GDF_Feedback_Continuous'
590140000,b'0',b'OVTK_GDF_End_Of_Trial'
610223000,b'0',b'OVTK_GDF_Start_Of_Trial'
610224000,b'0',b'OVTK_GDF_Cross_On_Screen'
630149000,b'0',b'OVTK_StimulationId_Beep'
640132000,b'0',b'OVTK_GDF_Left'
652671000,b'0',b'OVTK_GDF_Feedback_Continuous'
655468000,b'0',b'OVTK_StimulationId_RemovedSamples'
690179000,b'0',b'OVTK_GDF_End_Of_Trial'
730170000,b'0',b'OVTK_GDF_Start_Of_Trial'
730172000,b'0',b'OVTK_GDF_Cross_On_Screen'
750158000,b'0',b'OVTK_StimulationId_Beep'
760216000,b'0',b'OVTK_GDF_Right'
772690000,b'0',b'OVTK_GDF_Feedback_Continuous'
810223000,b'0',b'OVTK_GDF_End_Of_Trial'
840244000,b'0',b'OVTK_GDF_Start_Of_Trial'
840245000,b'0',b'OVTK_GDF_Cross_On_Screen'
860182000,b'0',b'OVTK_StimulationId_Beep'
870243000,b'0',b'OVTK_GDF_Left'
882921000,b'0',b'OVTK_GDF_Feedback_Continuous'
920247000,b'0',b'OVTK_GDF_End_Of_Trial'
950193000,b'0',b'OVTK_GDF_Start_Of_Trial'
950194000,b'0',b'OVTK_GDF_Cross_On_Screen'
970143000,b'0',b'OVTK_StimulationId_Beep'
980164000,b'0',b'OVTK_GDF_Right'
992663000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030181000,b'0',b'OVTK_GDF_End_Of_Trial'
1060236000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060237000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080131000,b'0',b'OVTK_StimulationId_Beep'
1090191000,b'0',b'OVTK_GDF_Left'
1102701000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140386000,b'0',b'OVTK_GDF_End_Of_Trial'
1180213000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180214000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200132000,b'0',b'OVTK_StimulationId_Beep'
1210156000,b'0',b'OVTK_GDF_Right'
1222663000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260176000,b'0',b'OVTK_GDF_End_Of_Trial'
1277949000,b'0',b'OVTK_StimulationId_RemovedSamples'
1300125000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300127000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320229000,b'0',b'OVTK_StimulationId_Beep'
