time,Zero,Stimulations
72000,b'0',b'OVTK_StimulationId_ExperimentStart'
50035000,b'0',b'OVTK_StimulationId_BaselineStart'
50037000,b'0',b'OVTK_StimulationId_Beep'
216386000,b'0',b'OVTK_StimulationId_RemovedSamples'
250034000,b'0',b'OVTK_StimulationId_BaselineStop'
250036000,b'0',b'OVTK_StimulationId_Beep'
300080000,b'0',b'OVTK_GDF_Start_Of_Trial'
300081000,b'0',b'OVTK_GDF_Cross_On_Screen'
320018000,b'0',b'OVTK_StimulationId_Beep'
330039000,b'0',b'OVTK_GDF_Left'
342543000,b'0',b'OVTK_GDF_Feedback_Continuous'
380053000,b'0',b'OVTK_GDF_End_Of_Trial'
400140000,b'0',b'OVTK_GDF_Start_Of_Trial'
400142000,b'0',b'OVTK_GDF_Cross_On_Screen'
420041000,b'0',b'OVTK_StimulationId_Beep'
430128000,b'0',b'OVTK_GDF_Left'
442636000,b'0',b'OVTK_GDF_Incorrect'
442636000,b'0',b'OVTK_GDF_Feedback_Continuous'
480173000,b'0',b'OVTK_GDF_End_Of_Trial'
510090000,b'0',b'OVTK_GDF_Start_Of_Trial'
510092000,b'0',b'OVTK_GDF_Cross_On_Screen'
530170000,b'0',b'OVTK_StimulationId_Beep'
540161000,b'0',b'OVTK_GDF_Right'
552642000,b'0',b'OVTK_GDF_Feedback_Continuous'
590083000,b'0',b'OVTK_GDF_End_Of_Trial'
610195000,b'0',b'OVTK_GDF_Start_Of_Trial'
610196000,b'0',b'OVTK_GDF_Cross_On_Screen'
630046000,b'0',b'OVTK_StimulationId_Beep'
640130000,b'0',b'OVTK_GDF_Left'
652636000,b'0',b'OVTK_GDF_Feedback_Continuous'
690171000,b'0',b'OVTK_GDF_End_Of_Trial'
730161000,b'0',b'OVTK_GDF_Start_Of_Trial'
730162000,b'0',b'OVTK_GDF_Cross_On_Screen'
750050000,b'0',b'OVTK_StimulationId_Beep'
760077000,b'0',b'OVTK_GDF_Left'
772600000,b'0',b'OVTK_GDF_Feedback_Continuous'
797617000,b'0',b'OVTK_StimulationId_RemovedSamples'
810111000,b'0',b'OVTK_GDF_End_Of_Trial'
840124000,b'0',b'OVTK_GDF_Start_Of_Trial'
840125000,b'0',b'OVTK_GDF_Cross_On_Screen'
860046000,b'0',b'OVTK_StimulationId_Beep'
870104000,b'0',b'OVTK_GDF_Right'
882628000,b'0',b'OVTK_GDF_Feedback_Continuous'
920143000,b'0',b'OVTK_GDF_End_Of_Trial'
950037000,b'0',b'OVTK_GDF_Start_Of_Trial'
950038000,b'0',b'OVTK_GDF_Cross_On_Screen'
970157000,b'0',b'OVTK_StimulationId_Beep'
980023000,b'0',b'OVTK_GDF_Left'
992536000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030058000,b'0',b'OVTK_GDF_End_Of_Trial'
1060169000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060170000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080094000,b'0',b'OVTK_StimulationId_Beep'
1090170000,b'0',b'OVTK_GDF_Right'
1102675000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140169000,b'0',b'OVTK_GDF_End_Of_Trial'
1180157000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180158000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200050000,b'0',b'OVTK_StimulationId_Beep'
1210138000,b'0',b'OVTK_GDF_Right'
1222796000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260246000,b'0',b'OVTK_GDF_End_Of_Trial'
1300055000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300056000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320165000,b'0',b'OVTK_StimulationId_Beep'
1330176000,b'0',b'OVTK_GDF_Left'
1342677000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380193000,b'0',b'OVTK_GDF_End_Of_Trial'
1381347000,b'0',b'OVTK_StimulationId_RemovedSamples'
1420156000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420158000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440091000,b'0',b'OVTK_StimulationId_Beep'
1450160000,b'0',b'OVTK_GDF_Right'
1462837000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500167000,b'0',b'OVTK_GDF_End_Of_Trial'
1520055000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520057000,b'0',b'OVTK_GDF_Cross_On_Screen'
