time,Zero,Stimulations
289000,b'0',b'OVTK_StimulationId_ExperimentStart'
50138000,b'0',b'OVTK_StimulationId_BaselineStart'
50140000,b'0',b'OVTK_StimulationId_Beep'
246074000,b'0',b'OVTK_StimulationId_RemovedSamples'
250242000,b'0',b'OVTK_StimulationId_BaselineStop'
250243000,b'0',b'OVTK_StimulationId_Beep'
300274000,b'0',b'OVTK_GDF_Start_Of_Trial'
300276000,b'0',b'OVTK_GDF_Cross_On_Screen'
320207000,b'0',b'OVTK_StimulationId_Beep'
330235000,b'0',b'OVTK_GDF_Right'
342786000,b'0',b'OVTK_GDF_Feedback_Continuous'
380245000,b'0',b'OVTK_GDF_End_Of_Trial'
400192000,b'0',b'OVTK_GDF_Start_Of_Trial'
400193000,b'0',b'OVTK_GDF_Cross_On_Screen'
420285000,b'0',b'OVTK_StimulationId_Beep'
430289000,b'0',b'OVTK_GDF_Right'
442808000,b'0',b'OVTK_GDF_Feedback_Continuous'
480147000,b'0',b'OVTK_GDF_End_Of_Trial'
510219000,b'0',b'OVTK_GDF_Start_Of_Trial'
510221000,b'0',b'OVTK_GDF_Cross_On_Screen'
530138000,b'0',b'OVTK_StimulationId_Beep'
540154000,b'0',b'OVTK_GDF_Left'
552663000,b'0',b'OVTK_GDF_Feedback_Continuous'
590176000,b'0',b'OVTK_GDF_End_Of_Trial'
610251000,b'0',b'OVTK_GDF_Start_Of_Trial'
610253000,b'0',b'OVTK_GDF_Cross_On_Screen'
630181000,b'0',b'OVTK_StimulationId_Beep'
640242000,b'0',b'OVTK_GDF_Left'
652748000,b'0',b'OVTK_GDF_Feedback_Continuous'
690279000,b'0',b'OVTK_GDF_End_Of_Trial'
730235000,b'0',b'OVTK_GDF_Start_Of_Trial'
730236000,b'0',b'OVTK_GDF_Cross_On_Screen'
750150000,b'0',b'OVTK_StimulationId_Beep'
760177000,b'0',b'OVTK_GDF_Right'
772773000,b'0',b'OVTK_GDF_Feedback_Continuous'
810309000,b'0',b'OVTK_GDF_End_Of_Trial'
840262000,b'0',b'OVTK_GDF_Start_Of_Trial'
840263000,b'0',b'OVTK_GDF_Cross_On_Screen'
860140000,b'0',b'OVTK_StimulationId_Beep'
868554000,b'0',b'OVTK_StimulationId_RemovedSamples'
870222000,b'0',b'OVTK_GDF_Left'
882721000,b'0',b'OVTK_GDF_Feedback_Continuous'
920249000,b'0',b'OVTK_GDF_End_Of_Trial'
950263000,b'0',b'OVTK_GDF_Start_Of_Trial'
950265000,b'0',b'OVTK_GDF_Cross_On_Screen'
970184000,b'0',b'OVTK_StimulationId_Beep'
980240000,b'0',b'OVTK_GDF_Right'
992761000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030279000,b'0',b'OVTK_GDF_End_Of_Trial'
1060198000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060200000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080285000,b'0',b'OVTK_StimulationId_Beep'
1090160000,b'0',b'OVTK_GDF_Left'
1102661000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140183000,b'0',b'OVTK_GDF_End_Of_Trial'
1180169000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180170000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200262000,b'0',b'OVTK_StimulationId_Beep'
1210132000,b'0',b'OVTK_GDF_Right'
1222642000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260178000,b'0',b'OVTK_GDF_End_Of_Trial'
1300119000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300121000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320255000,b'0',b'OVTK_StimulationId_Beep'
1330486000,b'0',b'OVTK_GDF_Left'
1342768000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380226000,b'0',b'OVTK_GDF_End_Of_Trial'
1420209000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420210000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440149000,b'0',b'OVTK_StimulationId_Beep'
1450151000,b'0',b'OVTK_GDF_Right'
1462685000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500234000,b'0',b'OVTK_GDF_End_Of_Trial'
1502285000,b'0',b'OVTK_StimulationId_RemovedSamples'
1520257000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520259000,b'0',b'OVTK_GDF_Cross_On_Screen'
1540181000,b'0',b'OVTK_StimulationId_Beep'
1550407000,b'0',b'OVTK_GDF_Left'
1562715000,b'0',b'OVTK_GDF_Feedback_Continuous'
1600253000,b'0',b'OVTK_GDF_End_Of_Trial'
1640232000,b'0',b'OVTK_GDF_Start_Of_Trial'
1640233000,b'0',b'OVTK_GDF_Cross_On_Screen'
1660140000,b'0',b'OVTK_StimulationId_Beep'
1670208000,b'0',b'OVTK_GDF_Right'
1682713000,b'0',b'OVTK_GDF_Feedback_Continuous'
1720229000,b'0',b'OVTK_GDF_End_Of_Trial'
1760224000,b'0',b'OVTK_GDF_Start_Of_Trial'
1760225000,b'0',b'OVTK_GDF_Cross_On_Screen'
1780125000,b'0',b'OVTK_StimulationId_Beep'
1790290000,b'0',b'OVTK_GDF_Right'
1802775000,b'0',b'OVTK_GDF_Feedback_Continuous'
1840134000,b'0',b'OVTK_GDF_End_Of_Trial'
1870240000,b'0',b'OVTK_GDF_Start_Of_Trial'
1870241000,b'0',b'OVTK_GDF_Cross_On_Screen'
1890137000,b'0',b'OVTK_StimulationId_Beep'
1900203000,b'0',b'OVTK_GDF_Right'
1912717000,b'0',b'OVTK_GDF_Feedback_Continuous'
1950220000,b'0',b'OVTK_GDF_End_Of_Trial'
1970138000,b'0',b'OVTK_GDF_Start_Of_Trial'
1970140000,b'0',b'OVTK_GDF_Cross_On_Screen'
1990223000,b'0',b'OVTK_StimulationId_Beep'
2000289000,b'0',b'OVTK_GDF_Left'
2012793000,b'0',b'OVTK_GDF_Feedback_Continuous'
2050293000,b'0',b'OVTK_GDF_End_Of_Trial'
2070206000,b'0',b'OVTK_GDF_Start_Of_Trial'
