time,Zero,Stimulations
159000,b'0',b'OVTK_StimulationId_ExperimentStart'
50001000,b'0',b'OVTK_StimulationId_BaselineStart'
50003000,b'0',b'OVTK_StimulationId_Beep'
250122000,b'0',b'OVTK_StimulationId_BaselineStop'
250124000,b'0',b'OVTK_StimulationId_Beep'
297109000,b'0',b'OVTK_StimulationId_RemovedSamples'
300076000,b'0',b'OVTK_GDF_Start_Of_Trial'
300077000,b'0',b'OVTK_GDF_Cross_On_Screen'
320064000,b'0',b'OVTK_StimulationId_Beep'
330036000,b'0',b'OVTK_GDF_Left'
342664000,b'0',b'OVTK_GDF_Feedback_Continuous'
380018000,b'0',b'OVTK_GDF_End_Of_Trial'
400009000,b'0',b'OVTK_GDF_Start_Of_Trial'
400010000,b'0',b'OVTK_GDF_Cross_On_Screen'
420017000,b'0',b'OVTK_StimulationId_Beep'
430021000,b'0',b'OVTK_GDF_Right'
442648000,b'0',b'OVTK_GDF_Feedback_Continuous'
480194000,b'0',b'OVTK_GDF_End_Of_Trial'
510155000,b'0',b'OVTK_GDF_Start_Of_Trial'
510156000,b'0',b'OVTK_GDF_Cross_On_Screen'
530007000,b'0',b'OVTK_StimulationId_Beep'
540142000,b'0',b'OVTK_GDF_Down'
552638000,b'0',b'OVTK_GDF_Feedback_Continuous'
590180000,b'0',b'OVTK_GDF_End_Of_Trial'
610172000,b'0',b'OVTK_GDF_Start_Of_Trial'
610173000,b'0',b'OVTK_GDF_Cross_On_Screen'
630156000,b'0',b'OVTK_StimulationId_Beep'
640158000,b'0',b'OVTK_GDF_Left'
652762000,b'0',b'OVTK_GDF_Feedback_Continuous'
690301000,b'0',b'OVTK_GDF_End_Of_Trial'
730119000,b'0',b'OVTK_GDF_Start_Of_Trial'
730120000,b'0',b'OVTK_GDF_Cross_On_Screen'
750103000,b'0',b'OVTK_StimulationId_Beep'
760073000,b'0',b'OVTK_GDF_Down'
772711000,b'0',b'OVTK_GDF_Feedback_Continuous'
810050000,b'0',b'OVTK_GDF_End_Of_Trial'
840075000,b'0',b'OVTK_GDF_Start_Of_Trial'
840077000,b'0',b'OVTK_GDF_Cross_On_Screen'
860026000,b'0',b'OVTK_StimulationId_Beep'
870063000,b'0',b'OVTK_GDF_Left'
882686000,b'0',b'OVTK_GDF_Feedback_Continuous'
918964000,b'0',b'OVTK_StimulationId_RemovedSamples'
920188000,b'0',b'OVTK_GDF_End_Of_Trial'
950167000,b'0',b'OVTK_GDF_Start_Of_Trial'
950168000,b'0',b'OVTK_GDF_Cross_On_Screen'
970012000,b'0',b'OVTK_StimulationId_Beep'
980164000,b'0',b'OVTK_GDF_Down'
992659000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030162000,b'0',b'OVTK_GDF_End_Of_Trial'
1060149000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060150000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080132000,b'0',b'OVTK_StimulationId_Beep'
1090170000,b'0',b'OVTK_GDF_Right'
1102782000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140315000,b'0',b'OVTK_GDF_End_Of_Trial'
1180323000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180325000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200133000,b'0',b'OVTK_StimulationId_Beep'
1210290000,b'0',b'OVTK_GDF_Left'
1222726000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260264000,b'0',b'OVTK_GDF_End_Of_Trial'
1300091000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300093000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320047000,b'0',b'OVTK_StimulationId_Beep'
1330069000,b'0',b'OVTK_GDF_Left'
1342514000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380012000,b'0',b'OVTK_GDF_End_Of_Trial'
1420032000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420033000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440020000,b'0',b'OVTK_StimulationId_Beep'
1450206000,b'0',b'OVTK_GDF_Left'
1462647000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500165000,b'0',b'OVTK_GDF_End_Of_Trial'
1520154000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520155000,b'0',b'OVTK_GDF_Cross_On_Screen'
1540164000,b'0',b'OVTK_StimulationId_Beep'
1543945000,b'0',b'OVTK_StimulationId_RemovedSamples'
1550155000,b'0',b'OVTK_GDF_Down'
1562625000,b'0',b'OVTK_GDF_Feedback_Continuous'
1600161000,b'0',b'OVTK_GDF_End_Of_Trial'
1640139000,b'0',b'OVTK_GDF_Start_Of_Trial'
1640141000,b'0',b'OVTK_GDF_Cross_On_Screen'
1660057000,b'0',b'OVTK_StimulationId_Beep'
1670302000,b'0',b'OVTK_GDF_Right'
1682573000,b'0',b'OVTK_GDF_Feedback_Continuous'
1720074000,b'0',b'OVTK_GDF_End_Of_Trial'
1760258000,b'0',b'OVTK_GDF_Start_Of_Trial'
1760259000,b'0',b'OVTK_GDF_Cross_On_Screen'
1780043000,b'0',b'OVTK_StimulationId_Beep'
1790049000,b'0',b'OVTK_GDF_Down'
1802691000,b'0',b'OVTK_GDF_Feedback_Continuous'
1840226000,b'0',b'OVTK_GDF_End_Of_Trial'
1870044000,b'0',b'OVTK_GDF_Start_Of_Trial'
1870045000,b'0',b'OVTK_GDF_Cross_On_Screen'
1890032000,b'0',b'OVTK_StimulationId_Beep'
1900036000,b'0',b'OVTK_GDF_Right'
1912662000,b'0',b'OVTK_GDF_Feedback_Continuous'
1950175000,b'0',b'OVTK_GDF_End_Of_Trial'
1970106000,b'0',b'OVTK_GDF_Start_Of_Trial'
1970107000,b'0',b'OVTK_GDF_Cross_On_Screen'
1990022000,b'0',b'OVTK_StimulationId_Beep'
2000162000,b'0',b'OVTK_GDF_Left'
2012824000,b'0',b'OVTK_GDF_Feedback_Continuous'
2050163000,b'0',b'OVTK_GDF_End_Of_Trial'
2070147000,b'0',b'OVTK_GDF_Start_Of_Trial'
2070148000,b'0',b'OVTK_GDF_Cross_On_Screen'
2090173000,b'0',b'OVTK_StimulationId_Beep'
2100169000,b'0',b'OVTK_GDF_Down'
2112723000,b'0',b'OVTK_GDF_Feedback_Continuous'
2150151000,b'0',b'OVTK_GDF_End_Of_Trial'
2170151000,b'0',b'OVTK_GDF_Start_Of_Trial'
2170153000,b'0',b'OVTK_GDF_Cross_On_Screen'
2175175000,b'0',b'OVTK_StimulationId_RemovedSamples'
2190105000,b'0',b'OVTK_StimulationId_Beep'
2200276000,b'0',b'OVTK_GDF_Down'
2212546000,b'0',b'OVTK_GDF_Feedback_Continuous'
2250092000,b'0',b'OVTK_GDF_End_Of_Trial'
2280047000,b'0',b'OVTK_GDF_Start_Of_Trial'
2280049000,b'0',b'OVTK_GDF_Cross_On_Screen'
2300024000,b'0',b'OVTK_StimulationId_Beep'
2310031000,b'0',b'OVTK_GDF_Left'
2322670000,b'0',b'OVTK_GDF_Feedback_Continuous'
2360040000,b'0',b'OVTK_GDF_End_Of_Trial'
2380031000,b'0',b'OVTK_GDF_Start_Of_Trial'
2380033000,b'0',b'OVTK_GDF_Cross_On_Screen'
2400031000,b'0',b'OVTK_StimulationId_Beep'
2410188000,b'0',b'OVTK_GDF_Right'
2422664000,b'0',b'OVTK_GDF_Feedback_Continuous'
2460170000,b'0',b'OVTK_GDF_End_Of_Trial'
2480157000,b'0',b'OVTK_GDF_Start_Of_Trial'
2480158000,b'0',b'OVTK_GDF_Cross_On_Screen'
2500166000,b'0',b'OVTK_StimulationId_Beep'
2510109000,b'0',b'OVTK_GDF_Left'
2522816000,b'0',b'OVTK_GDF_Feedback_Continuous'
2560156000,b'0',b'OVTK_GDF_End_Of_Trial'
2600161000,b'0',b'OVTK_GDF_Start_Of_Trial'
2600163000,b'0',b'OVTK_GDF_Cross_On_Screen'
2620151000,b'0',b'OVTK_StimulationId_Beep'
2630148000,b'0',b'OVTK_GDF_Left'
2642757000,b'0',b'OVTK_GDF_Feedback_Continuous'
2680297000,b'0',b'OVTK_GDF_End_Of_Trial'
2710084000,b'0',b'OVTK_GDF_Start_Of_Trial'
2710086000,b'0',b'OVTK_GDF_Cross_On_Screen'
2730099000,b'0',b'OVTK_StimulationId_Beep'
2740113000,b'0',b'OVTK_GDF_Right'
2752543000,b'0',b'OVTK_GDF_Feedback_Continuous'
2790051000,b'0',b'OVTK_GDF_End_Of_Trial'
2797031000,b'0',b'OVTK_StimulationId_RemovedSamples'
2810025000,b'0',b'OVTK_GDF_Start_Of_Trial'
2810026000,b'0',b'OVTK_GDF_Cross_On_Screen'
2830010000,b'0',b'OVTK_StimulationId_Beep'
2840211000,b'0',b'OVTK_GDF_Down'
2852651000,b'0',b'OVTK_GDF_Feedback_Continuous'
2890012000,b'0',b'OVTK_GDF_End_Of_Trial'
2910006000,b'0',b'OVTK_GDF_Start_Of_Trial'
2910007000,b'0',b'OVTK_GDF_Cross_On_Screen'
2930000000,b'0',b'OVTK_StimulationId_Beep'
2940165000,b'0',b'OVTK_GDF_Down'
2952664000,b'0',b'OVTK_GDF_Feedback_Continuous'
2990149000,b'0',b'OVTK_GDF_End_Of_Trial'
3010156000,b'0.0001',b'OVTK_GDF_Incorrect'
3010156000,b'0',b'OVTK_GDF_Start_Of_Trial'
3010156000,b'0',b'OVTK_GDF_Cross_On_Screen'
3030173000,b'0',b'OVTK_StimulationId_Beep'
3040184000,b'0',b'OVTK_GDF_Right'
3052615000,b'0',b'OVTK_GDF_Feedback_Continuous'
3090120000,b'0',b'OVTK_GDF_End_Of_Trial'
3120309000,b'0',b'OVTK_GDF_Start_Of_Trial'
3120310000,b'0',b'OVTK_GDF_Cross_On_Screen'
3140145000,b'0',b'OVTK_StimulationId_Beep'
3150141000,b'0',b'OVTK_GDF_Down'
3162522000,b'0',b'OVTK_GDF_Feedback_Continuous'
3200078000,b'0',b'OVTK_GDF_End_Of_Trial'
3230271000,b'0',b'OVTK_GDF_Start_Of_Trial'
3230272000,b'0',b'OVTK_GDF_Cross_On_Screen'
3250101000,b'0',b'OVTK_StimulationId_Beep'
3260256000,b'0',b'OVTK_GDF_Down'
3272691000,b'0',b'OVTK_GDF_Feedback_Continuous'
3310046000,b'0',b'OVTK_GDF_End_Of_Trial'
3340052000,b'0',b'OVTK_GDF_Start_Of_Trial'
3340054000,b'0',b'OVTK_GDF_Cross_On_Screen'
3360047000,b'0',b'OVTK_StimulationId_Beep'
3370206000,b'0',b'OVTK_GDF_Right'
3382673000,b'0',b'OVTK_GDF_Feedback_Continuous'
3420191000,b'0',b'OVTK_GDF_End_Of_Trial'
3428261000,b'0',b'OVTK_StimulationId_RemovedSamples'
3450174000,b'0',b'OVTK_GDF_Start_Of_Trial'
3450175000,b'0',b'OVTK_GDF_Cross_On_Screen'
3470167000,b'0',b'OVTK_StimulationId_Beep'
3480162000,b'0',b'OVTK_GDF_Left'
3492805000,b'0',b'OVTK_GDF_Feedback_Continuous'
3530171000,b'0',b'OVTK_GDF_End_Of_Trial'
3560333000,b'0',b'OVTK_GDF_Start_Of_Trial'
3560335000,b'0',b'OVTK_GDF_Cross_On_Screen'
3580150000,b'0',b'OVTK_StimulationId_Beep'
3590337000,b'0',b'OVTK_GDF_Left'
3602581000,b'0',b'OVTK_GDF_Feedback_Continuous'
3640129000,b'0',b'OVTK_GDF_End_Of_Trial'
3660121000,b'0',b'OVTK_GDF_Start_Of_Trial'
3660122000,b'0',b'OVTK_GDF_Cross_On_Screen'
3680109000,b'0',b'OVTK_StimulationId_Beep'
3690278000,b'0',b'OVTK_GDF_Right'
3702712000,b'0',b'OVTK_GDF_Feedback_Continuous'
3740049000,b'0',b'OVTK_GDF_End_Of_Trial'
3770068000,b'0',b'OVTK_GDF_Start_Of_Trial'
3770070000,b'0',b'OVTK_GDF_Cross_On_Screen'
3790039000,b'0',b'OVTK_StimulationId_Beep'
3800048000,b'0',b'OVTK_GDF_Right'
3812672000,b'0',b'OVTK_GDF_Feedback_Continuous'
3850052000,b'0',b'OVTK_GDF_End_Of_Trial'
3880019000,b'0',b'OVTK_GDF_Start_Of_Trial'
3880021000,b'0',b'OVTK_GDF_Cross_On_Screen'
3900012000,b'0',b'OVTK_StimulationId_Beep'
3910186000,b'0',b'OVTK_GDF_Down'
3922646000,b'0',b'OVTK_GDF_Feedback_Continuous'
3960176000,b'0',b'OVTK_GDF_End_Of_Trial'
3990170000,b'0',b'OVTK_GDF_Start_Of_Trial'
3990172000,b'0',b'OVTK_GDF_Cross_On_Screen'
4010155000,b'0',b'OVTK_StimulationId_Beep'
4020168000,b'0',b'OVTK_GDF_Right'
4032833000,b'0',b'OVTK_GDF_Feedback_Continuous'
4053867000,b'0',b'OVTK_StimulationId_RemovedSamples'
4070153000,b'0',b'OVTK_GDF_End_Of_Trial'
4090140000,b'0',b'OVTK_GDF_Start_Of_Trial'
4090142000,b'0',b'OVTK_GDF_Cross_On_Screen'
4110126000,b'0',b'OVTK_StimulationId_Beep'
4120297000,b'0',b'OVTK_GDF_Right'
4132563000,b'0',b'OVTK_GDF_Feedback_Continuous'
4170282000,b'0',b'OVTK_GDF_End_Of_Trial'
4200062000,b'0',b'OVTK_GDF_Start_Of_Trial'
4200064000,b'0',b'OVTK_GDF_Cross_On_Screen'
4220080000,b'0',b'OVTK_StimulationId_Beep'
4230248000,b'0',b'OVTK_GDF_Down'
4242536000,b'0',b'OVTK_GDF_Feedback_Continuous'
4280047000,b'0',b'OVTK_GDF_End_Of_Trial'
4320038000,b'0',b'OVTK_GDF_Start_Of_Trial'
4320040000,b'0',b'OVTK_GDF_Cross_On_Screen'
