time,Zero,Stimulations
77000,b'0',b'OVTK_StimulationId_ExperimentStart'
50076000,b'0',b'OVTK_StimulationId_BaselineStart'
50078000,b'0',b'OVTK_StimulationId_Beep'
250126000,b'0',b'OVTK_StimulationId_BaselineStop'
250128000,b'0',b'OVTK_StimulationId_Beep'
300167000,b'0',b'OVTK_GDF_Start_Of_Trial'
300168000,b'0',b'OVTK_GDF_Cross_On_Screen'
320016000,b'0',b'OVTK_StimulationId_Beep'
330171000,b'0',b'OVTK_GDF_Left'
342639000,b'0',b'OVTK_GDF_Feedback_Continuous'
380151000,b'0',b'OVTK_GDF_End_Of_Trial'
400129000,b'0',b'OVTK_GDF_Start_Of_Trial'
400130000,b'0',b'OVTK_GDF_Cross_On_Screen'
420134000,b'0',b'OVTK_StimulationId_Beep'
430157000,b'0',b'OVTK_GDF_Left'
442627000,b'0',b'OVTK_GDF_Feedback_Continuous'
480163000,b'0',b'OVTK_GDF_End_Of_Trial'
510097000,b'0',b'OVTK_GDF_Start_Of_Trial'
510099000,b'0',b'OVTK_GDF_Cross_On_Screen'
527070000,b'0',b'OVTK_StimulationId_RemovedSamples'
530109000,b'0',b'OVTK_StimulationId_Beep'
540127000,b'0',b'OVTK_GDF_Right'
552551000,b'0',b'OVTK_GDF_Feedback_Continuous'
590097000,b'0',b'OVTK_GDF_End_Of_Trial'
610067000,b'0',b'OVTK_GDF_Start_Of_Trial'
610068000,b'0',b'OVTK_GDF_Cross_On_Screen'
630079000,b'0',b'OVTK_StimulationId_Beep'
640081000,b'0',b'OVTK_GDF_Left'
652697000,b'0',b'OVTK_GDF_Feedback_Continuous'
690029000,b'0',b'OVTK_GDF_End_Of_Trial'
730114000,b'0',b'OVTK_GDF_Start_Of_Trial'
730116000,b'0',b'OVTK_GDF_Cross_On_Screen'
750140000,b'0',b'OVTK_StimulationId_Beep'
760143000,b'0',b'OVTK_GDF_Right'
772572000,b'0',b'OVTK_GDF_Feedback_Continuous'
810110000,b'0',b'OVTK_GDF_End_Of_Trial'
840082000,b'0',b'OVTK_GDF_Start_Of_Trial'
840084000,b'0',b'OVTK_GDF_Cross_On_Screen'
860045000,b'0',b'OVTK_StimulationId_Beep'
870066000,b'0',b'OVTK_GDF_Left'
882707000,b'0',b'OVTK_GDF_Feedback_Continuous'
920042000,b'0',b'OVTK_GDF_End_Of_Trial'
950021000,b'0',b'OVTK_GDF_Start_Of_Trial'
950022000,b'0',b'OVTK_GDF_Cross_On_Screen'
970023000,b'0',b'OVTK_StimulationId_Beep'
980036000,b'0',b'OVTK_GDF_Left'
992706000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030044000,b'0',b'OVTK_GDF_End_Of_Trial'
1060109000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060110000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080124000,b'0',b'OVTK_StimulationId_Beep'
1090080000,b'0',b'OVTK_GDF_Left'
1099550000,b'0',b'OVTK_StimulationId_RemovedSamples'
1102534000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140071000,b'0',b'OVTK_GDF_End_Of_Trial'
1180094000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180095000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200013000,b'0',b'OVTK_StimulationId_Beep'
1210016000,b'0',b'OVTK_GDF_Left'
1222678000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260019000,b'0',b'OVTK_GDF_End_Of_Trial'
1300125000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300126000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320016000,b'0',b'OVTK_StimulationId_Beep'
1330169000,b'0',b'OVTK_GDF_Right'
1342662000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380162000,b'0',b'OVTK_GDF_End_Of_Trial'
1420136000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420137000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440130000,b'0',b'OVTK_StimulationId_Beep'
1450159000,b'0',b'OVTK_GDF_Left'
1462665000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500044000,b'0',b'OVTK_GDF_End_Of_Trial'
1520099000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520100000,b'0',b'OVTK_GDF_Cross_On_Screen'
1540125000,b'0',b'OVTK_StimulationId_Beep'
1550131000,b'0',b'OVTK_GDF_Right'
1562563000,b'0',b'OVTK_GDF_Feedback_Continuous'
1600104000,b'0',b'OVTK_GDF_End_Of_Trial'
1640054000,b'0',b'OVTK_GDF_Start_Of_Trial'
1640056000,b'0',b'OVTK_GDF_Cross_On_Screen'
1660042000,b'0',b'OVTK_StimulationId_Beep'
1670051000,b'0',b'OVTK_GDF_Right'
1672656000,b'0',b'OVTK_StimulationId_RemovedSamples'
1682662000,b'0',b'OVTK_GDF_Feedback_Continuous'
1720001000,b'0',b'OVTK_GDF_End_Of_Trial'
1760110000,b'0',b'OVTK_GDF_Start_Of_Trial'
1760112000,b'0',b'OVTK_GDF_Cross_On_Screen'
1780111000,b'0',b'OVTK_StimulationId_Beep'
1790125000,b'0',b'OVTK_GDF_Left'
1802553000,b'0',b'OVTK_GDF_Feedback_Continuous'
1840097000,b'0',b'OVTK_GDF_End_Of_Trial'
1870049000,b'0',b'OVTK_GDF_Start_Of_Trial'
1870051000,b'0',b'OVTK_GDF_Cross_On_Screen'
1890082000,b'0',b'OVTK_StimulationId_Beep'
1900045000,b'0',b'OVTK_GDF_Left'
1912523000,b'0',b'OVTK_GDF_Feedback_Continuous'
1950020000,b'0',b'OVTK_GDF_End_Of_Trial'
1970007000,b'0',b'OVTK_GDF_Start_Of_Trial'
1970008000,b'0',b'OVTK_GDF_Cross_On_Screen'
1990045000,b'0',b'OVTK_StimulationId_Beep'
2000198000,b'0',b'OVTK_GDF_Left'
