time,Zero,Stimulations
45000,b'0',b'OVTK_StimulationId_ExperimentStart'
50116000,b'0',b'OVTK_StimulationId_BaselineStart'
50118000,b'0',b'OVTK_StimulationId_Beep'
250161000,b'0',b'OVTK_StimulationId_BaselineStop'
250163000,b'0',b'OVTK_StimulationId_Beep'
300046000,b'0',b'OVTK_GDF_Start_Of_Trial'
300048000,b'0',b'OVTK_GDF_Cross_On_Screen'
320136000,b'0',b'OVTK_StimulationId_Beep'
330172000,b'0',b'OVTK_GDF_Right'
342626000,b'0',b'OVTK_GDF_Feedback_Continuous'
380153000,b'0',b'OVTK_GDF_End_Of_Trial'
400134000,b'0',b'OVTK_GDF_Start_Of_Trial'
400136000,b'0',b'OVTK_GDF_Cross_On_Screen'
420127000,b'0',b'OVTK_StimulationId_Beep'
430129000,b'0',b'OVTK_GDF_Left'
442575000,b'0',b'OVTK_GDF_Feedback_Continuous'
480113000,b'0',b'OVTK_GDF_End_Of_Trial'
510088000,b'0',b'OVTK_GDF_Start_Of_Trial'
510090000,b'0',b'OVTK_GDF_Cross_On_Screen'
529687000,b'0',b'OVTK_StimulationId_RemovedSamples'
530062000,b'0',b'OVTK_StimulationId_Beep'
540034000,b'0',b'OVTK_GDF_Right'
552502000,b'0',b'OVTK_GDF_Feedback_Continuous'
590013000,b'0',b'OVTK_GDF_End_Of_Trial'
609980000,b'0',b'OVTK_GDF_Start_Of_Trial'
609981000,b'0',b'OVTK_GDF_Cross_On_Screen'
630020000,b'0',b'OVTK_StimulationId_Beep'
640026000,b'0',b'OVTK_GDF_Left'
652654000,b'0',b'OVTK_GDF_Feedback_Continuous'
690171000,b'0',b'OVTK_GDF_End_Of_Trial'
730144000,b'0',b'OVTK_GDF_Start_Of_Trial'
730145000,b'0',b'OVTK_GDF_Cross_On_Screen'
750010000,b'0',b'OVTK_StimulationId_Beep'
760167000,b'0',b'OVTK_GDF_Right'
772653000,b'0',b'OVTK_GDF_Feedback_Continuous'
810146000,b'0',b'OVTK_GDF_End_Of_Trial'
840115000,b'0',b'OVTK_GDF_Start_Of_Trial'
840116000,b'0',b'OVTK_GDF_Cross_On_Screen'
860141000,b'0',b'OVTK_StimulationId_Beep'
870169000,b'0',b'OVTK_GDF_Right'
882586000,b'0',b'OVTK_GDF_Feedback_Continuous'
920133000,b'0',b'OVTK_GDF_End_Of_Trial'
950088000,b'0',b'OVTK_GDF_Start_Of_Trial'
950089000,b'0',b'OVTK_GDF_Cross_On_Screen'
970100000,b'0',b'OVTK_StimulationId_Beep'
980103000,b'0',b'OVTK_GDF_Right'
992548000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030050000,b'0',b'OVTK_GDF_End_Of_Trial'
1060039000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060040000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080023000,b'0',b'OVTK_StimulationId_Beep'
1090033000,b'0',b'OVTK_GDF_Left'
1102668000,b'0',b'OVTK_GDF_Feedback_Continuous'
1115917000,b'0',b'OVTK_StimulationId_RemovedSamples'
1140016000,b'0',b'OVTK_GDF_End_Of_Trial'
1180152000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180154000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200015000,b'0',b'OVTK_StimulationId_Beep'
1210160000,b'0',b'OVTK_GDF_Right'
1222650000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260159000,b'0',b'OVTK_GDF_End_Of_Trial'
1300124000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300126000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320127000,b'0',b'OVTK_StimulationId_Beep'
1330129000,b'0',b'OVTK_GDF_Right'
1342613000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380147000,b'0',b'OVTK_GDF_End_Of_Trial'
1420113000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420114000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440111000,b'0',b'OVTK_StimulationId_Beep'
1450115000,b'0',b'OVTK_GDF_Right'
1462550000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500060000,b'0',b'OVTK_GDF_End_Of_Trial'
1520030000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520032000,b'0',b'OVTK_GDF_Cross_On_Screen'
1540036000,b'0',b'OVTK_StimulationId_Beep'
1550035000,b'0',b'OVTK_GDF_Left'
1562675000,b'0',b'OVTK_GDF_Feedback_Continuous'
1600019000,b'0',b'OVTK_GDF_End_Of_Trial'
1640036000,b'0',b'OVTK_GDF_Start_Of_Trial'
1640038000,b'0',b'OVTK_GDF_Cross_On_Screen'
1660032000,b'0',b'OVTK_StimulationId_Beep'
1670192000,b'0',b'OVTK_GDF_Right'
1682676000,b'0',b'OVTK_GDF_Feedback_Continuous'
1702773000,b'0',b'OVTK_StimulationId_RemovedSamples'
1720149000,b'0',b'OVTK_GDF_End_Of_Trial'
1760112000,b'0',b'OVTK_GDF_Start_Of_Trial'
1760113000,b'0',b'OVTK_GDF_Cross_On_Screen'
1780142000,b'0',b'OVTK_StimulationId_Beep'
1790176000,b'0',b'OVTK_GDF_Left'
1802611000,b'0',b'OVTK_GDF_Feedback_Continuous'
1840155000,b'0',b'OVTK_GDF_End_Of_Trial'
1870127000,b'0',b'OVTK_GDF_Start_Of_Trial'
1870128000,b'0',b'OVTK_GDF_Cross_On_Screen'
1890141000,b'0',b'OVTK_StimulationId_Beep'
1900096000,b'0',b'OVTK_GDF_Left'
1912563000,b'0',b'OVTK_GDF_Feedback_Continuous'
1950101000,b'0',b'OVTK_GDF_End_Of_Trial'
1970075000,b'0',b'OVTK_GDF_Start_Of_Trial'
1970077000,b'0',b'OVTK_GDF_Cross_On_Screen'
1990077000,b'0',b'OVTK_StimulationId_Beep'
2000086000,b'0',b'OVTK_GDF_Left'
2012533000,b'0',b'OVTK_GDF_Feedback_Continuous'
2050042000,b'0',b'OVTK_GDF_End_Of_Trial'
2070053000,b'0',b'OVTK_GDF_Start_Of_Trial'
2070055000,b'0',b'OVTK_GDF_Cross_On_Screen'
2090011000,b'0',b'OVTK_StimulationId_Beep'
2100019000,b'0',b'OVTK_GDF_Right'
2112668000,b'0',b'OVTK_GDF_Feedback_Continuous'
2150026000,b'0',b'OVTK_GDF_End_Of_Trial'
2170166000,b'0',b'OVTK_GDF_Start_Of_Trial'
2170167000,b'0',b'OVTK_GDF_Cross_On_Screen'
2190023000,b'0',b'OVTK_StimulationId_Beep'
2200169000,b'0',b'OVTK_GDF_Left'
2212661000,b'0',b'OVTK_GDF_Feedback_Continuous'
2250167000,b'0',b'OVTK_GDF_End_Of_Trial'
2280132000,b'0',b'OVTK_GDF_Start_Of_Trial'
2280133000,b'0',b'OVTK_GDF_Cross_On_Screen'
2289628000,b'0',b'OVTK_StimulationId_RemovedSamples'
2300124000,b'0',b'OVTK_StimulationId_Beep'
2310160000,b'0',b'OVTK_GDF_Right'
2322597000,b'0',b'OVTK_GDF_Feedback_Continuous'
2360135000,b'0',b'OVTK_GDF_End_Of_Trial'
2380115000,b'0',b'OVTK_GDF_Start_Of_Trial'
2380116000,b'0',b'OVTK_GDF_Cross_On_Screen'
2400113000,b'0',b'OVTK_StimulationId_Beep'
2410121000,b'0',b'OVTK_GDF_Left'
2422559000,b'0',b'OVTK_GDF_Feedback_Continuous'
2460096000,b'0',b'OVTK_GDF_End_Of_Trial'
2480075000,b'0',b'OVTK_GDF_Start_Of_Trial'
2480077000,b'0',b'OVTK_GDF_Cross_On_Screen'
2500090000,b'0',b'OVTK_StimulationId_Beep'
2510062000,b'0',b'OVTK_GDF_Right'
2522517000,b'0',b'OVTK_GDF_Feedback_Continuous'
2560055000,b'0',b'OVTK_GDF_End_Of_Trial'
2600015000,b'0',b'OVTK_GDF_Start_Of_Trial'
2600017000,b'0',b'OVTK_GDF_Cross_On_Screen'
2620020000,b'0',b'OVTK_StimulationId_Beep'
2630022000,b'0',b'OVTK_GDF_Left'
2642652000,b'0',b'OVTK_GDF_Feedback_Continuous'
2680174000,b'0',b'OVTK_GDF_End_Of_Trial'
2710163000,b'0',b'OVTK_GDF_Start_Of_Trial'
2710164000,b'0',b'OVTK_GDF_Cross_On_Screen'
2730014000,b'0',b'OVTK_StimulationId_Beep'
2740196000,b'0',b'OVTK_GDF_Right'
2752635000,b'0',b'OVTK_GDF_Feedback_Continuous'
2790175000,b'0',b'OVTK_GDF_End_Of_Trial'
2810158000,b'0',b'OVTK_GDF_Start_Of_Trial'
2810160000,b'0',b'OVTK_GDF_Cross_On_Screen'
2830155000,b'0',b'OVTK_StimulationId_Beep'
2840163000,b'0',b'OVTK_GDF_Right'
2852597000,b'0',b'OVTK_GDF_Feedback_Continuous'
2875234000,b'0',b'OVTK_StimulationId_RemovedSamples'
2890121000,b'0',b'OVTK_GDF_End_Of_Trial'
2910101000,b'0',b'OVTK_GDF_Start_Of_Trial'
2910102000,b'0',b'OVTK_GDF_Cross_On_Screen'
2930092000,b'0',b'OVTK_StimulationId_Beep'
2940110000,b'0',b'OVTK_GDF_Right'
2952545000,b'0',b'OVTK_GDF_Feedback_Continuous'
2990247000,b'0',b'OVTK_GDF_End_Of_Trial'
3010022000,b'0',b'OVTK_GDF_Start_Of_Trial'
3010023000,b'0',b'OVTK_GDF_Cross_On_Screen'
3030033000,b'0',b'OVTK_StimulationId_Beep'
3040029000,b'0',b'OVTK_GDF_Left'
3052662000,b'0',b'OVTK_GDF_Feedback_Continuous'
3090026000,b'0',b'OVTK_GDF_End_Of_Trial'
3120023000,b'0',b'OVTK_GDF_Start_Of_Trial'
3120024000,b'0',b'OVTK_GDF_Cross_On_Screen'
3140003000,b'0',b'OVTK_StimulationId_Beep'
3150015000,b'0',b'OVTK_GDF_Left'
3162673000,b'0',b'OVTK_GDF_Feedback_Continuous'
3200162000,b'0',b'OVTK_GDF_End_Of_Trial'
3230139000,b'0',b'OVTK_GDF_Start_Of_Trial'
3230140000,b'0',b'OVTK_GDF_Cross_On_Screen'
3250146000,b'0',b'OVTK_StimulationId_Beep'
3260148000,b'0',b'OVTK_GDF_Left'
