time,Zero,Stimulations
59000,b'0',b'OVTK_StimulationId_ExperimentStart'
50010000,b'0',b'OVTK_StimulationId_BaselineStart'
50012000,b'0',b'OVTK_StimulationId_Beep'
250100000,b'0',b'OVTK_StimulationId_BaselineStop'
250101000,b'0',b'OVTK_StimulationId_Beep'
300046000,b'0',b'OVTK_GDF_Start_Of_Trial'
300048000,b'0',b'OVTK_GDF_Cross_On_Screen'
320020000,b'0',b'OVTK_StimulationId_Beep'
330026000,b'0',b'OVTK_GDF_Right'
342644000,b'0',b'OVTK_GDF_Feedback_Continuous'
380169000,b'0',b'OVTK_GDF_End_Of_Trial'
400158000,b'0',b'OVTK_GDF_Start_Of_Trial'
400159000,b'0',b'OVTK_GDF_Cross_On_Screen'
420167000,b'0',b'OVTK_StimulationId_Beep'
430149000,b'0',b'OVTK_GDF_Right'
442646000,b'0',b'OVTK_GDF_Feedback_Continuous'
480143000,b'0',b'OVTK_GDF_End_Of_Trial'
510108000,b'0',b'OVTK_GDF_Start_Of_Trial'
510110000,b'0',b'OVTK_GDF_Cross_On_Screen'
521171000,b'0',b'OVTK_StimulationId_RemovedSamples'
530157000,b'0',b'OVTK_StimulationId_Beep'
540302000,b'0',b'OVTK_GDF_Left'
552576000,b'0',b'OVTK_GDF_Feedback_Continuous'
590132000,b'0',b'OVTK_GDF_End_Of_Trial'
610102000,b'0',b'OVTK_GDF_Start_Of_Trial'
610103000,b'0',b'OVTK_GDF_Cross_On_Screen'
630095000,b'0',b'OVTK_StimulationId_Beep'
640100000,b'0',b'OVTK_GDF_Left'
652545000,b'0',b'OVTK_GDF_Feedback_Continuous'
690077000,b'0',b'OVTK_GDF_End_Of_Trial'
730029000,b'0',b'OVTK_GDF_Start_Of_Trial'
730031000,b'0',b'OVTK_GDF_Cross_On_Screen'
750015000,b'0',b'OVTK_StimulationId_Beep'
760019000,b'0',b'OVTK_GDF_Right'
772652000,b'0',b'OVTK_GDF_Feedback_Continuous'
810034000,b'0',b'OVTK_GDF_End_Of_Trial'
840171000,b'0',b'OVTK_GDF_Start_Of_Trial'
840172000,b'0',b'OVTK_GDF_Cross_On_Screen'
860016000,b'0',b'OVTK_StimulationId_Beep'
870170000,b'0',b'OVTK_GDF_Left'
882671000,b'0',b'OVTK_GDF_Feedback_Continuous'
920150000,b'0',b'OVTK_GDF_End_Of_Trial'
950149000,b'0',b'OVTK_GDF_Start_Of_Trial'
950150000,b'0',b'OVTK_GDF_Cross_On_Screen'
970139000,b'0',b'OVTK_StimulationId_Beep'
980144000,b'0',b'OVTK_GDF_Left'
992636000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030159000,b'0',b'OVTK_GDF_End_Of_Trial'
1060122000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060123000,b'0',b'OVTK_GDF_Cross_On_Screen'
