time,Zero,Stimulations
70000,b'0',b'OVTK_StimulationId_ExperimentStart'
50145000,b'0',b'OVTK_StimulationId_BaselineStart'
50147000,b'0',b'OVTK_StimulationId_Beep'
250108000,b'0',b'OVTK_StimulationId_BaselineStop'
250109000,b'0',b'OVTK_StimulationId_Beep'
300138000,b'0',b'OVTK_GDF_Start_Of_Trial'
300139000,b'0',b'OVTK_GDF_Cross_On_Screen'
320154000,b'0',b'OVTK_StimulationId_Beep'
330162000,b'0',b'OVTK_GDF_Left'
342645000,b'0',b'OVTK_GDF_Feedback_Continuous'
345351000,b'0',b'OVTK_StimulationId_RemovedSamples'
380168000,b'0',b'OVTK_GDF_End_Of_Trial'
400125000,b'0',b'OVTK_GDF_Start_Of_Trial'
400127000,b'0',b'OVTK_GDF_Cross_On_Screen'
420153000,b'0',b'OVTK_StimulationId_Beep'
430139000,b'0',b'OVTK_GDF_Right'
442575000,b'0',b'OVTK_GDF_Feedback_Continuous'
480112000,b'0',b'OVTK_GDF_End_Of_Trial'
510066000,b'0',b'OVTK_GDF_Start_Of_Trial'
510067000,b'0',b'OVTK_GDF_Cross_On_Screen'
530085000,b'0',b'OVTK_StimulationId_Beep'
540109000,b'0',b'OVTK_GDF_Left'
552528000,b'0',b'OVTK_GDF_Feedback_Continuous'
590039000,b'0',b'OVTK_GDF_End_Of_Trial'
610026000,b'0',b'OVTK_GDF_Start_Of_Trial'
610027000,b'0',b'OVTK_GDF_Cross_On_Screen'
630049000,b'0',b'OVTK_StimulationId_Beep'
640053000,b'0',b'OVTK_GDF_Left'
652662000,b'0',b'OVTK_GDF_Feedback_Continuous'
690029000,b'0',b'OVTK_GDF_End_Of_Trial'
730107000,b'0',b'OVTK_GDF_Start_Of_Trial'
730109000,b'0',b'OVTK_GDF_Cross_On_Screen'
750100000,b'0',b'OVTK_StimulationId_Beep'
760168000,b'0',b'OVTK_GDF_Right'
772678000,b'0',b'OVTK_GDF_Feedback_Continuous'
810202000,b'0',b'OVTK_GDF_End_Of_Trial'
840133000,b'0',b'OVTK_GDF_Start_Of_Trial'
840135000,b'0',b'OVTK_GDF_Cross_On_Screen'
860060000,b'0',b'OVTK_StimulationId_Beep'
870188000,b'0',b'OVTK_GDF_Right'
882617000,b'0',b'OVTK_GDF_Feedback_Continuous'
920153000,b'0',b'OVTK_GDF_End_Of_Trial'
942832000,b'0',b'OVTK_StimulationId_RemovedSamples'
950100000,b'0',b'OVTK_GDF_Start_Of_Trial'
950102000,b'0',b'OVTK_GDF_Cross_On_Screen'
970108000,b'0',b'OVTK_StimulationId_Beep'
980288000,b'0',b'OVTK_GDF_Left'
992547000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030088000,b'0',b'OVTK_GDF_End_Of_Trial'
1060073000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060074000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080068000,b'0',b'OVTK_StimulationId_Beep'
1090035000,b'0',b'OVTK_GDF_Left'
