time,Zero,Stimulations
188000,b'0',b'OVTK_StimulationId_ExperimentStart'
50073000,b'0',b'OVTK_StimulationId_BaselineStart'
50075000,b'0',b'OVTK_StimulationId_Beep'
205820000,b'0',b'OVTK_StimulationId_RemovedSamples'
250007000,b'0',b'OVTK_StimulationId_BaselineStop'
250009000,b'0',b'OVTK_StimulationId_Beep'
300168000,b'0',b'OVTK_GDF_Start_Of_Trial'
300170000,b'0',b'OVTK_GDF_Cross_On_Screen'
320045000,b'0',b'OVTK_StimulationId_Beep'
330086000,b'0',b'OVTK_GDF_Left'
342517000,b'0',b'OVTK_GDF_Feedback_Continuous'
380029000,b'0',b'OVTK_GDF_End_Of_Trial'
400028000,b'0',b'OVTK_GDF_Start_Of_Trial'
400029000,b'0',b'OVTK_GDF_Cross_On_Screen'
420012000,b'0',b'OVTK_StimulationId_Beep'
430012000,b'0',b'OVTK_GDF_Left'
442654000,b'0',b'OVTK_GDF_Feedback_Continuous'
480017000,b'0',b'OVTK_GDF_End_Of_Trial'
510011000,b'0',b'OVTK_GDF_Start_Of_Trial'
510012000,b'0',b'OVTK_GDF_Cross_On_Screen'
530121000,b'0',b'OVTK_StimulationId_Beep'
540092000,b'0',b'OVTK_GDF_Right'
552540000,b'0',b'OVTK_GDF_Feedback_Continuous'
590075000,b'0',b'OVTK_GDF_End_Of_Trial'
610016000,b'0',b'OVTK_GDF_Start_Of_Trial'
610018000,b'0',b'OVTK_GDF_Cross_On_Screen'
630047000,b'0',b'OVTK_StimulationId_Beep'
640050000,b'0',b'OVTK_GDF_Left'
652681000,b'0',b'OVTK_GDF_Feedback_Continuous'
690061000,b'0',b'OVTK_GDF_End_Of_Trial'
730109000,b'0',b'OVTK_GDF_Start_Of_Trial'
730110000,b'0',b'OVTK_GDF_Cross_On_Screen'
750140000,b'0',b'OVTK_StimulationId_Beep'
760130000,b'0',b'OVTK_GDF_Right'
772565000,b'0',b'OVTK_GDF_Feedback_Continuous'
773925000,b'0',b'OVTK_StimulationId_RemovedSamples'
810075000,b'0',b'OVTK_GDF_End_Of_Trial'
840055000,b'0',b'OVTK_GDF_Start_Of_Trial'
840056000,b'0',b'OVTK_GDF_Cross_On_Screen'
860058000,b'0',b'OVTK_StimulationId_Beep'
870064000,b'0',b'OVTK_GDF_Left'
882500000,b'0',b'OVTK_GDF_Feedback_Continuous'
920005000,b'0',b'OVTK_GDF_End_Of_Trial'
950097000,b'0',b'OVTK_GDF_Start_Of_Trial'
950098000,b'0',b'OVTK_GDF_Cross_On_Screen'
970124000,b'0',b'OVTK_StimulationId_Beep'
980137000,b'0',b'OVTK_GDF_Right'
992565000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030109000,b'0',b'OVTK_GDF_End_Of_Trial'
1060144000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060145000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080156000,b'0',b'OVTK_StimulationId_Beep'
1090161000,b'0',b'OVTK_GDF_Left'
1102629000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140137000,b'0',b'OVTK_GDF_End_Of_Trial'
1179993000,b'0',b'OVTK_GDF_Start_Of_Trial'
1179994000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200027000,b'0',b'OVTK_StimulationId_Beep'
1210001000,b'0',b'OVTK_GDF_Right'
1222668000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260039000,b'0',b'OVTK_GDF_End_Of_Trial'
1300133000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300134000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320014000,b'0',b'OVTK_StimulationId_Beep'
1330172000,b'0',b'OVTK_GDF_Left'
1342652000,b'0',b'OVTK_GDF_Feedback_Continuous'
1343906000,b'0',b'OVTK_StimulationId_RemovedSamples'
1380132000,b'0',b'OVTK_GDF_End_Of_Trial'
1419978000,b'0',b'OVTK_GDF_Start_Of_Trial'
1419979000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440030000,b'0',b'OVTK_StimulationId_Beep'
1450030000,b'0',b'OVTK_GDF_Right'
1462653000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500003000,b'0',b'OVTK_GDF_End_Of_Trial'
1520051000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520053000,b'0',b'OVTK_GDF_Cross_On_Screen'
1540108000,b'0',b'OVTK_StimulationId_Beep'
1550115000,b'0',b'OVTK_GDF_Right'
1562529000,b'0',b'OVTK_GDF_Feedback_Continuous'
1600079000,b'0',b'OVTK_GDF_End_Of_Trial'
1640133000,b'0',b'OVTK_GDF_Start_Of_Trial'
1640134000,b'0',b'OVTK_GDF_Cross_On_Screen'
1660119000,b'0',b'OVTK_StimulationId_Beep'
1670166000,b'0',b'OVTK_GDF_Left'
1682596000,b'0',b'OVTK_GDF_Feedback_Continuous'
1720132000,b'0',b'OVTK_GDF_End_Of_Trial'
1760099000,b'0',b'OVTK_GDF_Start_Of_Trial'
1760101000,b'0',b'OVTK_GDF_Cross_On_Screen'
1780108000,b'0',b'OVTK_StimulationId_Beep'
1790274000,b'0',b'OVTK_GDF_Left'
1802711000,b'0',b'OVTK_GDF_Feedback_Continuous'
1840054000,b'0',b'OVTK_GDF_End_Of_Trial'
1870039000,b'0',b'OVTK_GDF_Start_Of_Trial'
1870041000,b'0',b'OVTK_GDF_Cross_On_Screen'
1890033000,b'0',b'OVTK_StimulationId_Beep'
1900029000,b'0',b'OVTK_GDF_Left'
1912662000,b'0',b'OVTK_GDF_Feedback_Continuous'
1915136000,b'0',b'OVTK_StimulationId_RemovedSamples'
1950015000,b'0',b'OVTK_GDF_End_Of_Trial'
1970096000,b'0',b'OVTK_GDF_Start_Of_Trial'
1970098000,b'0',b'OVTK_GDF_Cross_On_Screen'
1990023000,b'0',b'OVTK_StimulationId_Beep'
2000010000,b'0',b'OVTK_GDF_Left'
2012825000,b'0',b'OVTK_GDF_Feedback_Continuous'
2050162000,b'0',b'OVTK_GDF_End_Of_Trial'
2070124000,b'0',b'OVTK_GDF_Start_Of_Trial'
2070126000,b'0',b'OVTK_GDF_Cross_On_Screen'
2090141000,b'0',b'OVTK_StimulationId_Beep'
2100145000,b'0',b'OVTK_GDF_Right'
2112628000,b'0',b'OVTK_GDF_Feedback_Continuous'
2150318000,b'0',b'OVTK_GDF_End_Of_Trial'
2170191000,b'0',b'OVTK_GDF_Start_Of_Trial'
2170193000,b'0',b'OVTK_GDF_Cross_On_Screen'
2190022000,b'0',b'OVTK_StimulationId_Beep'
2200031000,b'0',b'OVTK_GDF_Left'
2212656000,b'0',b'OVTK_GDF_Feedback_Continuous'
2250178000,b'0',b'OVTK_GDF_End_Of_Trial'
2280129000,b'0',b'OVTK_GDF_Start_Of_Trial'
2280131000,b'0',b'OVTK_GDF_Cross_On_Screen'
2300005000,b'0',b'OVTK_StimulationId_Beep'
2310145000,b'0',b'OVTK_GDF_Right'
2322636000,b'0',b'OVTK_GDF_Incorrect'
2322636000,b'0',b'OVTK_GDF_Feedback_Continuous'
2360150000,b'0',b'OVTK_GDF_End_Of_Trial'
2380114000,b'0',b'OVTK_GDF_Start_Of_Trial'
2380115000,b'0',b'OVTK_GDF_Cross_On_Screen'
2400168000,b'0',b'OVTK_StimulationId_Beep'
2410174000,b'0',b'OVTK_GDF_Left'
2422762000,b'0',b'OVTK_GDF_Feedback_Continuous'
2460138000,b'0',b'OVTK_GDF_End_Of_Trial'
2480119000,b'0',b'OVTK_GDF_Start_Of_Trial'
2480121000,b'0',b'OVTK_GDF_Cross_On_Screen'
2485742000,b'0',b'OVTK_StimulationId_RemovedSamples'
2500123000,b'0',b'OVTK_StimulationId_Beep'
2510267000,b'0',b'OVTK_GDF_Right'
2522705000,b'0',b'OVTK_GDF_Feedback_Continuous'
2560043000,b'0',b'OVTK_GDF_End_Of_Trial'
2600001000,b'0',b'OVTK_GDF_Start_Of_Trial'
2600003000,b'0',b'OVTK_GDF_Cross_On_Screen'
2620009000,b'0',b'OVTK_StimulationId_Beep'
2630018000,b'0',b'OVTK_GDF_Right'
2642662000,b'0',b'OVTK_GDF_Feedback_Continuous'
2680040000,b'0',b'OVTK_GDF_End_Of_Trial'
2710009000,b'0',b'OVTK_GDF_Start_Of_Trial'
2710011000,b'0',b'OVTK_GDF_Cross_On_Screen'
2730025000,b'0',b'OVTK_StimulationId_Beep'
2740164000,b'0',b'OVTK_GDF_Left'
