time,Zero,Stimulations
93000,b'0',b'OVTK_StimulationId_ExperimentStart'
50011000,b'0',b'OVTK_StimulationId_BaselineStart'
50013000,b'0',b'OVTK_StimulationId_Beep'
249997000,b'0',b'OVTK_StimulationId_BaselineStop'
249999000,b'0',b'OVTK_StimulationId_Beep'
300019000,b'0',b'OVTK_GDF_Start_Of_Trial'
300020000,b'0',b'OVTK_GDF_Cross_On_Screen'
320023000,b'0',b'OVTK_StimulationId_Beep'
330030000,b'0',b'OVTK_GDF_Right'
335781000,b'0',b'OVTK_StimulationId_RemovedSamples'
342660000,b'0',b'OVTK_GDF_Feedback_Continuous'
380156000,b'0',b'OVTK_GDF_End_Of_Trial'
400122000,b'0',b'OVTK_GDF_Start_Of_Trial'
400123000,b'0',b'OVTK_GDF_Cross_On_Screen'
420151000,b'0',b'OVTK_StimulationId_Beep'
430148000,b'0',b'OVTK_GDF_Left'
442615000,b'0',b'OVTK_GDF_Feedback_Continuous'
480139000,b'0',b'OVTK_GDF_End_Of_Trial'
509988000,b'0',b'OVTK_GDF_Start_Of_Trial'
509990000,b'0',b'OVTK_GDF_Cross_On_Screen'
530024000,b'0',b'OVTK_StimulationId_Beep'
540039000,b'0',b'OVTK_GDF_Right'
552663000,b'0',b'OVTK_GDF_Feedback_Continuous'
590027000,b'0',b'OVTK_GDF_End_Of_Trial'
610148000,b'0',b'OVTK_GDF_Start_Of_Trial'
610150000,b'0',b'OVTK_GDF_Cross_On_Screen'
630190000,b'0',b'OVTK_StimulationId_Beep'
640161000,b'0',b'OVTK_GDF_Left'
652644000,b'0',b'OVTK_GDF_Feedback_Continuous'
690141000,b'0',b'OVTK_GDF_End_Of_Trial'
730072000,b'0',b'OVTK_GDF_Start_Of_Trial'
730073000,b'0',b'OVTK_GDF_Cross_On_Screen'
750017000,b'0',b'OVTK_StimulationId_Beep'
760058000,b'0',b'OVTK_GDF_Right'
772661000,b'0',b'OVTK_GDF_Feedback_Continuous'
810037000,b'0',b'OVTK_GDF_End_Of_Trial'
840156000,b'0',b'OVTK_GDF_Start_Of_Trial'
840157000,b'0',b'OVTK_GDF_Cross_On_Screen'
860032000,b'0',b'OVTK_StimulationId_Beep'
870175000,b'0',b'OVTK_GDF_Left'
882630000,b'0',b'OVTK_GDF_Feedback_Continuous'
920168000,b'0',b'OVTK_GDF_End_Of_Trial'
930136000,b'0',b'OVTK_StimulationId_RemovedSamples'
950000000,b'0',b'OVTK_GDF_Start_Of_Trial'
