time,Zero,Stimulations
163000,b'0',b'OVTK_StimulationId_ExperimentStart'
50120000,b'0',b'OVTK_StimulationId_BaselineStart'
50121000,b'0',b'OVTK_StimulationId_Beep'
250084000,b'0',b'OVTK_StimulationId_BaselineStop'
250086000,b'0',b'OVTK_StimulationId_Beep'
300025000,b'0',b'OVTK_GDF_Start_Of_Trial'
300027000,b'0',b'OVTK_GDF_Cross_On_Screen'
304628000,b'0',b'OVTK_StimulationId_RemovedSamples'
320011000,b'0',b'OVTK_StimulationId_Beep'
330018000,b'0',b'OVTK_GDF_Left'
342649000,b'0',b'OVTK_GDF_Feedback_Continuous'
380021000,b'0',b'OVTK_GDF_End_Of_Trial'
400010000,b'0',b'OVTK_GDF_Start_Of_Trial'
400012000,b'0',b'OVTK_GDF_Cross_On_Screen'
419997000,b'0',b'OVTK_StimulationId_Beep'
430177000,b'0',b'OVTK_GDF_Left'
442633000,b'0',b'OVTK_GDF_Feedback_Continuous'
480154000,b'0',b'OVTK_GDF_End_Of_Trial'
510117000,b'0',b'OVTK_GDF_Start_Of_Trial'
510119000,b'0',b'OVTK_GDF_Cross_On_Screen'
530139000,b'0',b'OVTK_StimulationId_Beep'
540149000,b'0',b'OVTK_GDF_Left'
552618000,b'0',b'OVTK_GDF_Feedback_Continuous'
590309000,b'0',b'OVTK_GDF_End_Of_Trial'
610126000,b'0',b'OVTK_GDF_Start_Of_Trial'
610127000,b'0',b'OVTK_GDF_Cross_On_Screen'
630135000,b'0',b'OVTK_StimulationId_Beep'
640141000,b'0',b'OVTK_GDF_Right'
652743000,b'0',b'OVTK_GDF_Feedback_Continuous'
690119000,b'0',b'OVTK_GDF_End_Of_Trial'
730069000,b'0',b'OVTK_GDF_Start_Of_Trial'
730070000,b'0',b'OVTK_GDF_Cross_On_Screen'
750054000,b'0',b'OVTK_StimulationId_Beep'
760058000,b'0',b'OVTK_GDF_Right'
772527000,b'0',b'OVTK_GDF_Feedback_Continuous'
810035000,b'0',b'OVTK_GDF_End_Of_Trial'
840016000,b'0',b'OVTK_GDF_Start_Of_Trial'
840018000,b'0',b'OVTK_GDF_Cross_On_Screen'
860037000,b'0',b'OVTK_StimulationId_Beep'
870042000,b'0',b'OVTK_GDF_Right'
882676000,b'0',b'OVTK_GDF_Feedback_Continuous'
895859000,b'0',b'OVTK_StimulationId_RemovedSamples'
920171000,b'0',b'OVTK_GDF_End_Of_Trial'
950002000,b'0',b'OVTK_GDF_Start_Of_Trial'
950004000,b'0',b'OVTK_GDF_Cross_On_Screen'
970023000,b'0',b'OVTK_StimulationId_Beep'
980170000,b'0',b'OVTK_GDF_Right'
992637000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030146000,b'0',b'OVTK_GDF_End_Of_Trial'
1060327000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060328000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080148000,b'0',b'OVTK_StimulationId_Beep'
1090155000,b'0',b'OVTK_GDF_Left'
1102762000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140134000,b'0',b'OVTK_GDF_End_Of_Trial'
1180109000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180111000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200067000,b'0',b'OVTK_StimulationId_Beep'
1210107000,b'0',b'OVTK_GDF_Left'
1222543000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260081000,b'0',b'OVTK_GDF_End_Of_Trial'
1300023000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300024000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320033000,b'0',b'OVTK_StimulationId_Beep'
1330038000,b'0',b'OVTK_GDF_Left'
1342665000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380200000,b'0',b'OVTK_GDF_End_Of_Trial'
1420025000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420026000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440032000,b'0',b'OVTK_StimulationId_Beep'
1450180000,b'0',b'OVTK_GDF_Right'
1462667000,b'0',b'OVTK_GDF_Feedback_Continuous'
1492714000,b'0',b'OVTK_StimulationId_RemovedSamples'
