time,Zero,Stimulations
176000,b'0',b'OVTK_StimulationId_ExperimentStart'
50046000,b'0',b'OVTK_StimulationId_BaselineStart'
50048000,b'0',b'OVTK_StimulationId_Beep'
250137000,b'0',b'OVTK_StimulationId_BaselineStop'
250139000,b'0',b'OVTK_StimulationId_Beep'
300151000,b'0',b'OVTK_GDF_Start_Of_Trial'
300153000,b'0',b'OVTK_GDF_Cross_On_Screen'
303242000,b'0',b'OVTK_StimulationId_RemovedSamples'
320147000,b'0',b'OVTK_StimulationId_Beep'
330152000,b'0',b'OVTK_GDF_Right'
342584000,b'0',b'OVTK_GDF_Feedback_Continuous'
380135000,b'0',b'OVTK_GDF_End_Of_Trial'
400010000,b'0',b'OVTK_GDF_Start_Of_Trial'
400011000,b'0',b'OVTK_GDF_Cross_On_Screen'
420023000,b'0',b'OVTK_StimulationId_Beep'
430168000,b'0',b'OVTK_GDF_Right'
442625000,b'0',b'OVTK_GDF_Feedback_Continuous'
480142000,b'0',b'OVTK_GDF_End_Of_Trial'
510125000,b'0',b'OVTK_GDF_Start_Of_Trial'
510126000,b'0',b'OVTK_GDF_Cross_On_Screen'
530048000,b'0',b'OVTK_StimulationId_Beep'
540341000,b'0',b'OVTK_GDF_Left'
552609000,b'0',b'OVTK_GDF_Feedback_Continuous'
590168000,b'0',b'OVTK_GDF_End_Of_Trial'
610218000,b'0',b'OVTK_GDF_Start_Of_Trial'
610219000,b'0',b'OVTK_GDF_Cross_On_Screen'
630011000,b'0',b'OVTK_StimulationId_Beep'
640190000,b'0',b'OVTK_GDF_Left'
652573000,b'0',b'OVTK_GDF_Feedback_Continuous'
690105000,b'0',b'OVTK_GDF_End_Of_Trial'
730067000,b'0',b'OVTK_GDF_Start_Of_Trial'
730068000,b'0',b'OVTK_GDF_Cross_On_Screen'
750090000,b'0',b'OVTK_StimulationId_Beep'
760066000,b'0',b'OVTK_GDF_Left'
772519000,b'0',b'OVTK_GDF_Feedback_Continuous'
810172000,b'0',b'OVTK_GDF_End_Of_Trial'
840139000,b'0',b'OVTK_GDF_Start_Of_Trial'
840141000,b'0',b'OVTK_GDF_Cross_On_Screen'
860141000,b'0',b'OVTK_StimulationId_Beep'
870149000,b'0',b'OVTK_GDF_Right'
882581000,b'0',b'OVTK_GDF_Feedback_Continuous'
883847000,b'0',b'OVTK_StimulationId_RemovedSamples'
920167000,b'0',b'OVTK_GDF_End_Of_Trial'
950130000,b'0',b'OVTK_GDF_Start_Of_Trial'
950132000,b'0',b'OVTK_GDF_Cross_On_Screen'
970073000,b'0',b'OVTK_StimulationId_Beep'
980077000,b'0',b'OVTK_GDF_Right'
992519000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030033000,b'0',b'OVTK_GDF_End_Of_Trial'
1060021000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060022000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080149000,b'0',b'OVTK_StimulationId_Beep'
1090153000,b'0',b'OVTK_GDF_Left'
1102581000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140122000,b'0',b'OVTK_GDF_End_Of_Trial'
1180102000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180103000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200108000,b'0',b'OVTK_StimulationId_Beep'
1210108000,b'0',b'OVTK_GDF_Right'
1222534000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260244000,b'0',b'OVTK_GDF_End_Of_Trial'
1300002000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300003000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320041000,b'0',b'OVTK_StimulationId_Beep'
1330048000,b'0',b'OVTK_GDF_Left'
1342657000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380026000,b'0',b'OVTK_GDF_End_Of_Trial'
1420088000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420090000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440183000,b'0',b'OVTK_StimulationId_Beep'
1450170000,b'0',b'OVTK_GDF_Right'
1455078000,b'0',b'OVTK_StimulationId_RemovedSamples'
1462655000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500154000,b'0',b'OVTK_GDF_End_Of_Trial'
1520006000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520007000,b'0',b'OVTK_GDF_Cross_On_Screen'
1540016000,b'0',b'OVTK_StimulationId_Beep'
1550022000,b'0',b'OVTK_GDF_Left'
1562657000,b'0',b'OVTK_GDF_Feedback_Continuous'
1600024000,b'0',b'OVTK_GDF_End_Of_Trial'
1640021000,b'0',b'OVTK_GDF_Start_Of_Trial'
1640023000,b'0',b'OVTK_GDF_Cross_On_Screen'
1660188000,b'0',b'OVTK_StimulationId_Beep'
1670171000,b'0',b'OVTK_GDF_Right'
1682659000,b'0',b'OVTK_GDF_Feedback_Continuous'
1720148000,b'0',b'OVTK_GDF_End_Of_Trial'
1760041000,b'0',b'OVTK_GDF_Start_Of_Trial'
1760042000,b'0',b'OVTK_GDF_Cross_On_Screen'
1780021000,b'0',b'OVTK_StimulationId_Beep'
1790029000,b'0',b'OVTK_GDF_Left'
1802672000,b'0',b'OVTK_GDF_Feedback_Continuous'
1840043000,b'0',b'OVTK_GDF_End_Of_Trial'
1870107000,b'0',b'OVTK_GDF_Start_Of_Trial'
1870108000,b'0',b'OVTK_GDF_Cross_On_Screen'
1890139000,b'0',b'OVTK_StimulationId_Beep'
1900294000,b'0',b'OVTK_GDF_Right'
1912557000,b'0',b'OVTK_GDF_Feedback_Continuous'
1950100000,b'0',b'OVTK_GDF_End_Of_Trial'
1970138000,b'0',b'OVTK_GDF_Start_Of_Trial'
1970139000,b'0',b'OVTK_GDF_Cross_On_Screen'
1990091000,b'0',b'OVTK_StimulationId_Beep'
2000098000,b'0',b'OVTK_GDF_Left'
2012694000,b'0',b'OVTK_GDF_Feedback_Continuous'
2038808000,b'0',b'OVTK_StimulationId_RemovedSamples'
2050041000,b'0',b'OVTK_GDF_End_Of_Trial'
2070099000,b'0',b'OVTK_GDF_Start_Of_Trial'
2070100000,b'0',b'OVTK_GDF_Cross_On_Screen'
2090016000,b'0',b'OVTK_StimulationId_Beep'
2100024000,b'0',b'OVTK_GDF_Right'
2112629000,b'0',b'OVTK_GDF_Feedback_Continuous'
2150170000,b'0',b'OVTK_GDF_End_Of_Trial'
2170135000,b'0',b'OVTK_GDF_Start_Of_Trial'
2170136000,b'0',b'OVTK_GDF_Cross_On_Screen'
2190085000,b'0',b'OVTK_StimulationId_Beep'
2200089000,b'0',b'OVTK_GDF_Right'
2212697000,b'0',b'OVTK_GDF_Feedback_Continuous'
2250039000,b'0',b'OVTK_GDF_End_Of_Trial'
2280116000,b'0',b'OVTK_GDF_Start_Of_Trial'
2280117000,b'0',b'OVTK_GDF_Cross_On_Screen'
2300158000,b'0',b'OVTK_StimulationId_Beep'
2310162000,b'0',b'OVTK_GDF_Left'
2322766000,b'0',b'OVTK_GDF_Feedback_Continuous'
2360143000,b'0',b'OVTK_GDF_End_Of_Trial'
2380060000,b'0',b'OVTK_GDF_Start_Of_Trial'
2380061000,b'0',b'OVTK_GDF_Cross_On_Screen'
2400114000,b'0',b'OVTK_StimulationId_Beep'
2410116000,b'0',b'OVTK_GDF_Left'
2422556000,b'0',b'OVTK_GDF_Feedback_Continuous'
2460093000,b'0',b'OVTK_GDF_End_Of_Trial'
2480107000,b'0',b'OVTK_GDF_Start_Of_Trial'
2480108000,b'0',b'OVTK_GDF_Cross_On_Screen'
2500143000,b'0',b'OVTK_StimulationId_Beep'
2510033000,b'0',b'OVTK_GDF_Right'
2522683000,b'0',b'OVTK_GDF_Feedback_Continuous'
2560018000,b'0',b'OVTK_GDF_End_Of_Trial'
2600038000,b'0',b'OVTK_GDF_Start_Of_Trial'
2600039000,b'0',b'OVTK_GDF_Cross_On_Screen'
2619414000,b'0',b'OVTK_StimulationId_RemovedSamples'
2619998000,b'0',b'OVTK_StimulationId_Beep'
2630175000,b'0',b'OVTK_GDF_Right'
2642672000,b'0',b'OVTK_GDF_Feedback_Continuous'
2680096000,b'0',b'OVTK_GDF_End_Of_Trial'
2710025000,b'0',b'OVTK_GDF_Start_Of_Trial'
2710026000,b'0',b'OVTK_GDF_Cross_On_Screen'
2730063000,b'0',b'OVTK_StimulationId_Beep'
2740066000,b'0',b'OVTK_GDF_Left'
2752677000,b'0',b'OVTK_GDF_Feedback_Continuous'
2790017000,b'0',b'OVTK_GDF_End_Of_Trial'
2809984000,b'0',b'OVTK_GDF_Start_Of_Trial'
2809986000,b'0',b'OVTK_GDF_Cross_On_Screen'
2830021000,b'0',b'OVTK_StimulationId_Beep'
2840022000,b'0',b'OVTK_GDF_Left'
2852654000,b'0',b'OVTK_GDF_Feedback_Continuous'
2890175000,b'0',b'OVTK_GDF_End_Of_Trial'
2910140000,b'0',b'OVTK_GDF_Start_Of_Trial'
2910142000,b'0',b'OVTK_GDF_Cross_On_Screen'
2930023000,b'0',b'OVTK_StimulationId_Beep'
2940168000,b'0',b'OVTK_GDF_Left'
2952533000,b'0',b'OVTK_GDF_Feedback_Continuous'
2990044000,b'0',b'OVTK_GDF_End_Of_Trial'
3010016000,b'0',b'OVTK_GDF_Start_Of_Trial'
3010017000,b'0',b'OVTK_GDF_Cross_On_Screen'
3030026000,b'0',b'OVTK_StimulationId_Beep'
3040056000,b'0',b'OVTK_GDF_Left'
3052663000,b'0',b'OVTK_GDF_Feedback_Continuous'
3090028000,b'0',b'OVTK_GDF_End_Of_Trial'
3120162000,b'0',b'OVTK_GDF_Start_Of_Trial'
3120163000,b'0',b'OVTK_GDF_Cross_On_Screen'
3140031000,b'0',b'OVTK_StimulationId_Beep'
3150177000,b'0',b'OVTK_GDF_Right'
3162644000,b'0',b'OVTK_GDF_Feedback_Continuous'
3200177000,b'0',b'OVTK_GDF_End_Of_Trial'
3203769000,b'0',b'OVTK_StimulationId_RemovedSamples'
3230128000,b'0',b'OVTK_GDF_Start_Of_Trial'
3230129000,b'0',b'OVTK_GDF_Cross_On_Screen'
3250071000,b'0',b'OVTK_StimulationId_Beep'
3260224000,b'0',b'OVTK_GDF_Left'
3272664000,b'0',b'OVTK_GDF_Feedback_Continuous'
3310225000,b'0',b'OVTK_GDF_End_Of_Trial'
3340124000,b'0',b'OVTK_GDF_Start_Of_Trial'
3340125000,b'0',b'OVTK_GDF_Cross_On_Screen'
3360136000,b'0',b'OVTK_StimulationId_Beep'
3370142000,b'0',b'OVTK_GDF_Left'
3382563000,b'0',b'OVTK_GDF_Feedback_Continuous'
3420271000,b'0',b'OVTK_GDF_End_Of_Trial'
3450148000,b'0',b'OVTK_GDF_Start_Of_Trial'
3450149000,b'0',b'OVTK_GDF_Cross_On_Screen'
3470147000,b'0',b'OVTK_StimulationId_Beep'
3480158000,b'0',b'OVTK_GDF_Left'
3492626000,b'0',b'OVTK_GDF_Feedback_Continuous'
3530330000,b'0',b'OVTK_GDF_End_Of_Trial'
3560123000,b'0',b'OVTK_GDF_Start_Of_Trial'
3560125000,b'0',b'OVTK_GDF_Cross_On_Screen'
3580046000,b'0',b'OVTK_StimulationId_Beep'
3590037000,b'0',b'OVTK_GDF_Right'
3602687000,b'0',b'OVTK_GDF_Feedback_Continuous'
3640032000,b'0',b'OVTK_GDF_End_Of_Trial'
3660071000,b'0',b'OVTK_GDF_Start_Of_Trial'
3660073000,b'0',b'OVTK_GDF_Cross_On_Screen'
3680106000,b'0',b'OVTK_StimulationId_Beep'
3690073000,b'0',b'OVTK_GDF_Left'
3702532000,b'0',b'OVTK_GDF_Feedback_Continuous'
3740047000,b'0',b'OVTK_GDF_End_Of_Trial'
3770005000,b'0',b'OVTK_GDF_Start_Of_Trial'
3770007000,b'0',b'OVTK_GDF_Cross_On_Screen'
3784375000,b'0',b'OVTK_StimulationId_RemovedSamples'
3784375000,b'0',b'OVTK_StimulationId_RemovedSamples'
3790024000,b'0',b'OVTK_StimulationId_Beep'
3800030000,b'0',b'OVTK_GDF_Right'
3812583000,b'0',b'OVTK_GDF_Feedback_Continuous'
3850289000,b'0',b'OVTK_GDF_End_Of_Trial'
3880140000,b'0',b'OVTK_GDF_Start_Of_Trial'
3880141000,b'0',b'OVTK_GDF_Cross_On_Screen'
3900060000,b'0',b'OVTK_StimulationId_Beep'
3910100000,b'0',b'OVTK_GDF_Right'
3922548000,b'0',b'OVTK_GDF_Feedback_Continuous'
3960069000,b'0',b'OVTK_GDF_End_Of_Trial'
3990026000,b'0',b'OVTK_GDF_Start_Of_Trial'
3990028000,b'0',b'OVTK_GDF_Cross_On_Screen'
4010166000,b'0',b'OVTK_StimulationId_Beep'
4020173000,b'0',b'OVTK_GDF_Right'
4032768000,b'0',b'OVTK_GDF_Feedback_Continuous'
4070087000,b'0',b'OVTK_GDF_End_Of_Trial'
4090016000,b'0',b'OVTK_GDF_Start_Of_Trial'
4090017000,b'0',b'OVTK_GDF_Cross_On_Screen'
4110126000,b'0',b'OVTK_StimulationId_Beep'
4120128000,b'0',b'OVTK_GDF_Left'
4132560000,b'0',b'OVTK_GDF_Feedback_Continuous'
4170269000,b'0',b'OVTK_GDF_End_Of_Trial'
4200021000,b'0',b'OVTK_GDF_Start_Of_Trial'
4200022000,b'0',b'OVTK_GDF_Cross_On_Screen'
4220043000,b'0',b'OVTK_StimulationId_Beep'
4230050000,b'0',b'OVTK_GDF_Right'
4242688000,b'0',b'OVTK_GDF_Feedback_Continuous'
4280053000,b'0',b'OVTK_GDF_End_Of_Trial'
4320119000,b'0',b'OVTK_GDF_Start_Of_Trial'
4320120000,b'0',b'OVTK_GDF_Cross_On_Screen'
4340152000,b'0',b'OVTK_StimulationId_Beep'
4350157000,b'0',b'OVTK_GDF_Right'
