time,Zero,Stimulations
174000,b'0',b'OVTK_StimulationId_ExperimentStart'
50130000,b'0',b'OVTK_StimulationId_BaselineStart'
50133000,b'0',b'OVTK_StimulationId_Beep'
196875000,b'0',b'OVTK_StimulationId_RemovedSamples'
196875000,b'0',b'OVTK_StimulationId_RemovedSamples'
250086000,b'0',b'OVTK_StimulationId_BaselineStop'
250088000,b'0',b'OVTK_StimulationId_Beep'
300042000,b'0',b'OVTK_GDF_Start_Of_Trial'
300043000,b'0',b'OVTK_GDF_Cross_On_Screen'
320141000,b'0',b'OVTK_StimulationId_Beep'
330140000,b'0',b'OVTK_GDF_Left'
342575000,b'0',b'OVTK_GDF_Feedback_Continuous'
380155000,b'0',b'OVTK_GDF_End_Of_Trial'
400087000,b'0',b'OVTK_GDF_Start_Of_Trial'
400088000,b'0',b'OVTK_GDF_Cross_On_Screen'
420110000,b'0',b'OVTK_StimulationId_Beep'
430124000,b'0',b'OVTK_GDF_Left'
442837000,b'0',b'OVTK_GDF_Feedback_Continuous'
480301000,b'0',b'OVTK_GDF_End_Of_Trial'
510022000,b'0',b'OVTK_GDF_Start_Of_Trial'
510024000,b'0',b'OVTK_GDF_Cross_On_Screen'
530018000,b'0',b'OVTK_StimulationId_Beep'
540058000,b'0',b'OVTK_GDF_Left'
552655000,b'0',b'OVTK_GDF_Feedback_Continuous'
590028000,b'0',b'OVTK_GDF_End_Of_Trial'
610111000,b'0',b'OVTK_GDF_Start_Of_Trial'
610112000,b'0',b'OVTK_GDF_Cross_On_Screen'
630119000,b'0',b'OVTK_StimulationId_Beep'
640130000,b'0',b'OVTK_GDF_Right'
652724000,b'0',b'OVTK_GDF_Feedback_Continuous'
690101000,b'0',b'OVTK_GDF_End_Of_Trial'
730129000,b'0',b'OVTK_GDF_Start_Of_Trial'
730131000,b'0',b'OVTK_GDF_Cross_On_Screen'
750142000,b'0',b'OVTK_StimulationId_Beep'
760148000,b'0',b'OVTK_GDF_Left'
766230000,b'0',b'OVTK_StimulationId_RemovedSamples'
772616000,b'0',b'OVTK_GDF_Feedback_Continuous'
810143000,b'0',b'OVTK_GDF_End_Of_Trial'
840106000,b'0',b'OVTK_GDF_Start_Of_Trial'
840107000,b'0',b'OVTK_GDF_Cross_On_Screen'
