time,Zero,Stimulations
154000,b'0',b'OVTK_StimulationId_ExperimentStart'
50003000,b'0',b'OVTK_StimulationId_BaselineStart'
50006000,b'0',b'OVTK_StimulationId_Beep'
148320000,b'0',b'OVTK_StimulationId_RemovedSamples'
249997000,b'0',b'OVTK_StimulationId_BaselineStop'
249999000,b'0',b'OVTK_StimulationId_Beep'
300005000,b'0',b'OVTK_GDF_Start_Of_Trial'
300006000,b'0',b'OVTK_GDF_Cross_On_Screen'
320009000,b'0',b'OVTK_StimulationId_Beep'
330158000,b'0',b'OVTK_GDF_Left'
342658000,b'0',b'OVTK_GDF_Feedback_Continuous'
380155000,b'0',b'OVTK_GDF_End_Of_Trial'
400007000,b'0',b'OVTK_GDF_Start_Of_Trial'
400008000,b'0',b'OVTK_GDF_Cross_On_Screen'
420035000,b'0',b'OVTK_StimulationId_Beep'
430041000,b'0',b'OVTK_GDF_Left'
442667000,b'0',b'OVTK_GDF_Feedback_Continuous'
480001000,b'0',b'OVTK_GDF_End_Of_Trial'
510089000,b'0',b'OVTK_GDF_Start_Of_Trial'
510090000,b'0',b'OVTK_GDF_Cross_On_Screen'
530119000,b'0',b'OVTK_StimulationId_Beep'
540132000,b'0',b'OVTK_GDF_Right'
552562000,b'0',b'OVTK_GDF_Feedback_Continuous'
590102000,b'0',b'OVTK_GDF_End_Of_Trial'
610055000,b'0',b'OVTK_GDF_Start_Of_Trial'
610056000,b'0',b'OVTK_GDF_Cross_On_Screen'
630210000,b'0',b'OVTK_StimulationId_Beep'
640160000,b'0',b'OVTK_GDF_Left'
652627000,b'0',b'OVTK_GDF_Feedback_Continuous'
690182000,b'0',b'OVTK_GDF_End_Of_Trial'
730014000,b'0',b'OVTK_GDF_Start_Of_Trial'
730016000,b'0',b'OVTK_GDF_Cross_On_Screen'
737675000,b'0',b'OVTK_StimulationId_RemovedSamples'
750007000,b'0',b'OVTK_StimulationId_Beep'
760012000,b'0',b'OVTK_GDF_Left'
772626000,b'0',b'OVTK_GDF_Feedback_Continuous'
810164000,b'0',b'OVTK_GDF_End_Of_Trial'
840105000,b'0',b'OVTK_GDF_Start_Of_Trial'
840106000,b'0',b'OVTK_GDF_Cross_On_Screen'
860155000,b'0',b'OVTK_StimulationId_Beep'
870157000,b'0',b'OVTK_GDF_Right'
882631000,b'0',b'OVTK_GDF_Feedback_Continuous'
920130000,b'0',b'OVTK_GDF_End_Of_Trial'
950010000,b'0',b'OVTK_GDF_Start_Of_Trial'
950011000,b'0',b'OVTK_GDF_Cross_On_Screen'
970036000,b'0',b'OVTK_StimulationId_Beep'
980042000,b'0',b'OVTK_GDF_Right'
992669000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030183000,b'0',b'OVTK_GDF_End_Of_Trial'
1060161000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060163000,b'0',b'OVTK_GDF_Cross_On_Screen'
