time,Zero,Stimulations
173000,b'0',b'OVTK_StimulationId_ExperimentStart'
50140000,b'0',b'OVTK_StimulationId_BaselineStart'
50142000,b'0',b'OVTK_StimulationId_Beep'
220449000,b'0',b'OVTK_StimulationId_RemovedSamples'
250002000,b'0',b'OVTK_StimulationId_BaselineStop'
250003000,b'0',b'OVTK_StimulationId_Beep'
300102000,b'0',b'OVTK_GDF_Start_Of_Trial'
300104000,b'0',b'OVTK_GDF_Cross_On_Screen'
320138000,b'0',b'OVTK_StimulationId_Beep'
330134000,b'0',b'OVTK_GDF_Left'
342747000,b'0',b'OVTK_GDF_Feedback_Continuous'
380115000,b'0',b'OVTK_GDF_End_Of_Trial'
400011000,b'0',b'OVTK_GDF_Start_Of_Trial'
400013000,b'0',b'OVTK_GDF_Cross_On_Screen'
420174000,b'0',b'OVTK_StimulationId_Beep'
430152000,b'0',b'OVTK_GDF_Left'
442646000,b'0',b'OVTK_GDF_Feedback_Continuous'
480134000,b'0',b'OVTK_GDF_End_Of_Trial'
510006000,b'0',b'OVTK_GDF_Start_Of_Trial'
510007000,b'0',b'OVTK_GDF_Cross_On_Screen'
530127000,b'0',b'OVTK_StimulationId_Beep'
540136000,b'0',b'OVTK_GDF_Left'
552595000,b'0',b'OVTK_GDF_Feedback_Continuous'
590145000,b'0',b'OVTK_GDF_End_Of_Trial'
610102000,b'0',b'OVTK_GDF_Start_Of_Trial'
610104000,b'0',b'OVTK_GDF_Cross_On_Screen'
630116000,b'0',b'OVTK_StimulationId_Beep'
640126000,b'0',b'OVTK_GDF_Left'
652584000,b'0',b'OVTK_GDF_Feedback_Continuous'
690096000,b'0',b'OVTK_GDF_End_Of_Trial'
730033000,b'0',b'OVTK_GDF_Start_Of_Trial'
730034000,b'0',b'OVTK_GDF_Cross_On_Screen'
750004000,b'0',b'OVTK_StimulationId_Beep'
760187000,b'0',b'OVTK_GDF_Left'
772638000,b'0',b'OVTK_GDF_Feedback_Continuous'
807304000,b'0',b'OVTK_StimulationId_RemovedSamples'
810137000,b'0',b'OVTK_GDF_End_Of_Trial'
840183000,b'0',b'OVTK_GDF_Start_Of_Trial'
840184000,b'0',b'OVTK_GDF_Cross_On_Screen'
860009000,b'0',b'OVTK_StimulationId_Beep'
870010000,b'0',b'OVTK_GDF_Left'
882636000,b'0',b'OVTK_GDF_Feedback_Continuous'
920153000,b'0',b'OVTK_GDF_End_Of_Trial'
950050000,b'0',b'OVTK_GDF_Start_Of_Trial'
950051000,b'0',b'OVTK_GDF_Cross_On_Screen'
969994000,b'0',b'OVTK_StimulationId_Beep'
980186000,b'0',b'OVTK_GDF_Left'
992635000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030127000,b'0',b'OVTK_GDF_End_Of_Trial'
1060019000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060021000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080134000,b'0',b'OVTK_StimulationId_Beep'
1090142000,b'0',b'OVTK_GDF_Left'
1102573000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140114000,b'0',b'OVTK_GDF_End_Of_Trial'
1180024000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180027000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200165000,b'0',b'OVTK_StimulationId_Beep'
1210148000,b'0',b'OVTK_GDF_Right'
1222636000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260039000,b'0',b'OVTK_GDF_End_Of_Trial'
1299996000,b'0',b'OVTK_GDF_Start_Of_Trial'
1299997000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320044000,b'0',b'OVTK_StimulationId_Beep'
1330047000,b'0',b'OVTK_GDF_Left'
1342648000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380023000,b'0',b'OVTK_GDF_End_Of_Trial'
1395410000,b'0',b'OVTK_StimulationId_RemovedSamples'
1420140000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420141000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440001000,b'0',b'OVTK_StimulationId_Beep'
1450141000,b'0',b'OVTK_GDF_Right'
