time,Zero,Stimulations
159000,b'0',b'OVTK_StimulationId_ExperimentStart'
50011000,b'0',b'OVTK_StimulationId_BaselineStart'
50012000,b'0',b'OVTK_StimulationId_Beep'
250015000,b'0',b'OVTK_StimulationId_BaselineStop'
250016000,b'0',b'OVTK_StimulationId_Beep'
293027000,b'0',b'OVTK_StimulationId_RemovedSamples'
300030000,b'0',b'OVTK_GDF_Start_Of_Trial'
300031000,b'0',b'OVTK_GDF_Cross_On_Screen'
319992000,b'0',b'OVTK_StimulationId_Beep'
330047000,b'0',b'OVTK_GDF_Right'
342522000,b'0',b'OVTK_GDF_Feedback_Continuous'
380028000,b'0',b'OVTK_GDF_End_Of_Trial'
400030000,b'0',b'OVTK_GDF_Start_Of_Trial'
400031000,b'0',b'OVTK_GDF_Cross_On_Screen'
419995000,b'0',b'OVTK_StimulationId_Beep'
430046000,b'0',b'OVTK_GDF_Left'
442525000,b'0',b'OVTK_GDF_Feedback_Continuous'
480057000,b'0',b'OVTK_GDF_End_Of_Trial'
510033000,b'0',b'OVTK_GDF_Start_Of_Trial'
510035000,b'0',b'OVTK_GDF_Cross_On_Screen'
530000000,b'0',b'OVTK_StimulationId_Beep'
540050000,b'0',b'OVTK_GDF_Right'
552557000,b'0',b'OVTK_GDF_Feedback_Continuous'
590036000,b'0',b'OVTK_GDF_End_Of_Trial'
610037000,b'0',b'OVTK_GDF_Start_Of_Trial'
610039000,b'0',b'OVTK_GDF_Cross_On_Screen'
630003000,b'0',b'OVTK_StimulationId_Beep'
640053000,b'0',b'OVTK_GDF_Left'
652544000,b'0',b'OVTK_GDF_Feedback_Continuous'
690053000,b'0',b'OVTK_GDF_End_Of_Trial'
730049000,b'0',b'OVTK_GDF_Start_Of_Trial'
730051000,b'0',b'OVTK_GDF_Cross_On_Screen'
750009000,b'0',b'OVTK_StimulationId_Beep'
760064000,b'0',b'OVTK_GDF_Right'
772564000,b'0',b'OVTK_GDF_Feedback_Continuous'
810050000,b'0',b'OVTK_GDF_End_Of_Trial'
840050000,b'0',b'OVTK_GDF_Start_Of_Trial'
840051000,b'0',b'OVTK_GDF_Cross_On_Screen'
860017000,b'0',b'OVTK_StimulationId_Beep'
867382000,b'0',b'OVTK_StimulationId_RemovedSamples'
870043000,b'0',b'OVTK_GDF_Left'
882547000,b'0',b'OVTK_GDF_Feedback_Continuous'
920033000,b'0',b'OVTK_GDF_End_Of_Trial'
950036000,b'0',b'OVTK_GDF_Start_Of_Trial'
950038000,b'0',b'OVTK_GDF_Cross_On_Screen'
970005000,b'0',b'OVTK_StimulationId_Beep'
980065000,b'0',b'OVTK_GDF_Right'
992548000,b'0',b'OVTK_GDF_Feedback_Continuous'
1030044000,b'0',b'OVTK_GDF_End_Of_Trial'
1060047000,b'0',b'OVTK_GDF_Start_Of_Trial'
1060049000,b'0',b'OVTK_GDF_Cross_On_Screen'
1080005000,b'0',b'OVTK_StimulationId_Beep'
1090059000,b'0',b'OVTK_GDF_Right'
1102543000,b'0',b'OVTK_GDF_Feedback_Continuous'
1140031000,b'0',b'OVTK_GDF_End_Of_Trial'
1180044000,b'0',b'OVTK_GDF_Start_Of_Trial'
1180046000,b'0',b'OVTK_GDF_Cross_On_Screen'
1200013000,b'0',b'OVTK_StimulationId_Beep'
1210061000,b'0',b'OVTK_GDF_Right'
1222540000,b'0',b'OVTK_GDF_Feedback_Continuous'
1260062000,b'0',b'OVTK_GDF_End_Of_Trial'
1300047000,b'0',b'OVTK_GDF_Start_Of_Trial'
1300049000,b'0',b'OVTK_GDF_Cross_On_Screen'
1320015000,b'0',b'OVTK_StimulationId_Beep'
1330060000,b'0',b'OVTK_GDF_Left'
1342563000,b'0',b'OVTK_GDF_Feedback_Continuous'
1380050000,b'0',b'OVTK_GDF_End_Of_Trial'
1420042000,b'0',b'OVTK_GDF_Start_Of_Trial'
1420044000,b'0',b'OVTK_GDF_Cross_On_Screen'
1440017000,b'0',b'OVTK_StimulationId_Beep'
1449863000,b'0',b'OVTK_StimulationId_RemovedSamples'
1450041000,b'0',b'OVTK_GDF_Right'
1462540000,b'0',b'OVTK_GDF_Feedback_Continuous'
1500035000,b'0',b'OVTK_GDF_End_Of_Trial'
1520036000,b'0',b'OVTK_GDF_Start_Of_Trial'
1520038000,b'0',b'OVTK_GDF_Cross_On_Screen'
1540002000,b'0',b'OVTK_StimulationId_Beep'
1550051000,b'0',b'OVTK_GDF_Left'
1562550000,b'0',b'OVTK_GDF_Feedback_Continuous'
1600035000,b'0',b'OVTK_GDF_End_Of_Trial'
1640060000,b'0',b'OVTK_GDF_Start_Of_Trial'
1640062000,b'0',b'OVTK_GDF_Cross_On_Screen'
1660004000,b'0',b'OVTK_StimulationId_Beep'
1670044000,b'0',b'OVTK_GDF_Right'
1682543000,b'0',b'OVTK_GDF_Feedback_Continuous'
1720057000,b'0',b'OVTK_GDF_End_Of_Trial'
1760050000,b'0',b'OVTK_GDF_Start_Of_Trial'
1760052000,b'0',b'OVTK_GDF_Cross_On_Screen'
1780009000,b'0',b'OVTK_StimulationId_Beep'
